actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-07T00:41:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-07T00:41:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-07T00:41:40.7Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612752,0,0,2024-02-07T00:41:40Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. T. Jemison: Tip to P. Achiuwa,"[1630173, 1628392, 1641998]",1610612752.0,NYK,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Hartenstein,1628392.0,Jemison,1641998.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-07T00:41:54.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,13.61695137976347,48.529411764705884,1610612752,2,0,2024-02-07T00:42:01Z,70000,False,7.0,75.0,1,left,J. Brunson 7' driving floating Jump Shot (2 PTS) (D. DiVincenzo 1 AST),"[1628973, 1628978]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.59,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-07T00:42:12.6Z,1,REGULAR,turnover,bad pass,[],1631367,,,1610612763,2,0,2024-02-07T00:42:17Z,90000,False,,,0,,J. Gilyard bad pass TURNOVER (1 TO),"[1631367, 1628978]",1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,,
10,PT11M26.00S,2024-02-07T00:42:12.6Z,1,REGULAR,steal,,[],1628978,,,1610612752,2,0,2024-02-07T00:42:15Z,100000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2024-02-07T00:42:27.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630173,12.040078843626807,47.549019607843135,1610612752,2,0,2024-02-07T00:42:34Z,110000,False,12.0,61.0,1,left,MISS P. Achiuwa 6' turnaround Hook,[1630173],1610612752.0,NYK,turnaround,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2024-02-07T00:42:29.3Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,0,2024-02-07T00:42:34Z,120000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M56.00S,2024-02-07T00:42:42.2Z,1,REGULAR,turnover,bad pass,[],1631367,,,1610612763,2,0,2024-02-07T00:42:49Z,130000,False,,,0,,J. Gilyard bad pass TURNOVER (2 TO),"[1631367, 1628978]",1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,Restricted Area,0-8 Center,,,,,,,2.0,DiVincenzo,1628978.0,,,,,,,,,,,
14,PT10M56.00S,2024-02-07T00:42:42.2Z,1,REGULAR,steal,,[],1628978,,,1610612752,2,0,2024-02-07T00:42:43Z,140000,False,,,0,,D. DiVincenzo STEAL (2 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2024-02-07T00:42:48.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628973,6.652431011826544,50.73529411764706,1610612752,2,0,2024-02-07T00:43:09Z,150000,False,-4.0,10.0,1,left,MISS J. Brunson running Layup,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.07,Missed,,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2024-02-07T00:42:50.4Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,2,0,2024-02-07T00:42:54Z,160000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,
17,PT10M47.00S,2024-02-07T00:42:50.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628392,5.590000152587891,50.0,1610612752,4,0,2024-02-07T00:43:01Z,170000,False,0.0,0.0,1,left,I. Hartenstein tip DUNK (2 PTS),[1628392],1610612752.0,NYK,tip,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2024-02-07T00:43:06.2Z,1,REGULAR,3pt,Jump Shot,[],1630583,76.16622864651774,12.5,1610612763,4,0,2024-02-07T00:43:12Z,180000,False,-188.0,172.0,1,right,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2024-02-07T00:43:07.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,4,0,2024-02-07T00:43:12Z,190000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,
20,PT10M21.00S,2024-02-07T00:43:20.8Z,1,REGULAR,turnover,out-of-bounds,[],1628392,,,1610612752,4,0,2024-02-07T00:43:28Z,200000,False,,,0,,I. Hartenstein bad pass out-of-bounds TURNOVER (1 TO),[1628392],1610612752.0,NYK,bad pass,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,1629178.0,,,,,,
