actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-25T23:13:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-25T23:13:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-25T23:14:00.4Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-10-25T23:14:00Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Robinson: Tip to D. White,"[1628401, 204001, 1629011]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-10-25T23:14:09.8Z,1,REGULAR,3pt,Jump Shot,[],204001,4.681340341655716,95.34313725490196,1610612738,0,0,2023-10-25T23:14:15Z,70000,False,-227.0,-8.0,1,left,MISS K. Porzingis 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Left Corner 3,24+ Left,22.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-10-25T23:14:11.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2023-10-25T23:14:15Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-10-25T23:14:26.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,86.41590013140605,33.82352941176471,1610612752,0,0,2023-10-25T23:14:34Z,90000,False,-81.0,75.0,1,right,MISS J. Brunson 11' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,11.05,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2023-10-25T23:14:28.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2023-10-25T23:14:34Z,100000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2023-10-25T23:15:04.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.17411300919842,30.392156862745097,1610612738,0,0,2023-10-25T23:15:11Z,110000,False,98.0,231.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-10-25T23:15:06.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,0,2023-10-25T23:15:11Z,120000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2023-10-25T23:15:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,91.67214191852825,49.754901960784316,1610612752,0,0,2023-10-25T23:16:24Z,130000,False,-1.0,26.0,1,right,MISS J. Randle Layup,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2023-10-25T23:15:21.4Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,0,0,2023-10-25T23:16:24Z,140000,False,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
