actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-23T17:11:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T17:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-23T17:11:23.2Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-03-23T17:11:23Z,40000,False,,,0,,Jump Ball N. Claxton vs. I. Hartenstein: Tip to D. Schroder,"[203471, 1629651, 1628392]",1610612751.0,BKN,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Claxton,1629651.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-03-23T17:11:44.0Z,1,REGULAR,turnover,lost ball,[],1630560,,,1610612751,0,0,2024-03-23T17:11:47Z,70000,False,,,0,,C. Thomas lost ball TURNOVER (1 TO),"[1630560, 1628978]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Center,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-23T17:11:44.0Z,1,REGULAR,steal,,[],1628978,,,1610612752,0,0,2024-03-23T17:11:45Z,80000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2024-03-23T17:11:48.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628978,93.64323258869908,53.67647058823529,1610612752,0,0,2024-03-23T17:11:52Z,90000,False,18.0,7.0,1,right,MISS D. DiVincenzo running Layup - blocked,"[1628978, 203471]",1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,1.98,Missed,Schroder,203471.0,,,,,,,,,,,,,
10,PT11M31.00S,2024-03-23T17:11:48.6Z,1,REGULAR,block,,[],203471,,,1610612752,0,0,2024-03-23T17:11:50Z,100000,False,,,0,,D. Schroder BLOCK (1 BLK),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2024-03-23T17:11:50.6Z,1,REGULAR,rebound,offensive,[],1628978,,,1610612752,0,0,2024-03-23T17:11:52Z,110000,False,,,0,,D. DiVincenzo REBOUND (Off:1 Def:0),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M27.00S,2024-03-23T17:11:54.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628404,93.77463863337714,44.6078431372549,1610612752,0,0,2024-03-23T17:12:31Z,120000,False,-27.0,6.0,1,right,MISS J. Hart driving Layup,[1628404],1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,2.77,Missed,,,,,,,,,,,,,,,
13,PT11M27.00S,2024-03-23T17:11:54.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2024-03-23T17:12:31Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,,,,,,,,,,,,
14,PT11M27.00S,2024-03-23T17:12:01.1Z,1,REGULAR,foul,personal,[],1629661,,,1610612752,0,0,2024-03-23T17:12:09Z,140000,False,,,0,,C. Johnson loose ball personal FOUL (1 PF),"[1629661, 1628392]",1610612751.0,BKN,loose ball,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,201639.0,1.0,0.0,Hartenstein,1628392.0,,,,
16,PT11M17.00S,2024-03-23T17:12:21.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628973,79.84559789750328,52.94117647058824,1610612752,0,0,2024-03-23T17:12:32Z,160000,False,15.0,137.0,1,right,MISS J. Brunson 13' turnaround Shot,[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,13.78,Missed,,,,,,,,,,,,,,,
17,PT11M15.00S,2024-03-23T17:12:23.5Z,1,REGULAR,rebound,defensive,[],203471,,,1610612751,0,0,2024-03-23T17:12:32Z,170000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT11M02.00S,2024-03-23T17:12:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629661,7.046649145860711,4.6568627450980395,1610612751,0,3,2024-03-23T17:12:40Z,180000,False,227.0,14.0,1,left,C. Johnson 3PT  (3 PTS) (C. Thomas 1 AST),"[1629661, 1630560]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,22.71,Made,,,,,,,,,,,,3.0,C. Thomas,1630560.0,1.0
20,PT10M35.00S,2024-03-23T17:13:03.0Z,1,REGULAR,2pt,Jump Shot,[],1628392,95.87713534822602,33.57843137254902,1610612752,2,3,2024-03-23T17:13:08Z,200000,False,-82.0,-14.0,1,right,I. Hartenstein 8' floating Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,floating,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,8.32,Made,,,,,,,,,,,,2.0,J. Brunson,1628973.0,1.0
22,PT10M16.00S,2024-03-23T17:13:22.1Z,1,REGULAR,2pt,Jump Shot,[],203471,23.078186596583443,42.64705882352941,1610612751,2,3,2024-03-23T17:13:27Z,220000,False,37.0,164.0,1,left,MISS D. Schroder 16' pullup Shot,[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Center,,,,16.85,Missed,,,,,,,,,,,,,,,
23,PT10M14.00S,2024-03-23T17:13:24.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,2,3,2024-03-23T17:13:25Z,230000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M08.00S,2024-03-23T17:13:30.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628973,90.62089356110381,34.55882352941176,1610612752,2,3,2024-03-23T17:13:56Z,240000,False,-77.0,36.0,1,right,MISS J. Brunson 8' running Layup - blocked,"[1628973, 203471]",1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,,,,8.51,Missed,Schroder,203471.0,,,,,,,,,,,,,
