actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-15T20:12:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-15T20:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-15T20:12:04.6Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-01-15T20:12:04Z,40000,False,,,0,,Jump Ball G. Bitadze vs. I. Hartenstein: Tip to J. Suggs,"[1630591, 1629048, 1628392]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bitadze,1629048.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-15T20:12:18.1Z,1,REGULAR,foul,personal,[],1628392,,,1610612753,0,0,2024-01-15T20:12:23Z,70000,False,,,0,,I. Hartenstein personal FOUL (1 PF),"[1628392, 1629048]",1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Center,1204.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-01-15T20:12:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630591,29.25427069645204,17.647058823529413,1610612753,0,0,2024-01-15T20:12:48Z,90000,False,162.0,222.0,1,left,MISS J. Suggs 27' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,27.51,Missed,,,,,,,,,,,,,
10,PT11M34.00S,2024-01-15T20:12:46.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2024-01-15T20:12:48Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M16.00S,2024-01-15T20:13:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,68.41327201051249,24.754901960784316,1610612752,0,0,2024-01-15T20:13:09Z,110000,False,-126.0,244.0,1,right,MISS D. DiVincenzo 27' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,27.51,Missed,,,,,,,,,,,,,
12,PT11M14.00S,2024-01-15T20:13:05.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2024-01-15T20:15:11Z,120000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M01.00S,2024-01-15T20:13:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629643,7.5722733245729295,49.754901960784316,1610612753,0,2,2024-01-15T20:13:33Z,140000,False,1.0,19.0,1,left,C. Okeke driving Layup (2 PTS) (P. Banchero 1 AST),"[1629643, 1631094]",1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,,,,1.87,Made,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,
16,PT11M01.00S,2024-01-15T20:13:30.1Z,1,REGULAR,foul,personal,['1freethrow'],1628384,,,1610612753,0,2,2024-01-15T20:13:39Z,160000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Okeke 1 FT),"[1628384, 1629643]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1151.0,1.0,0.0,Okeke,1629643.0,,,,,,,,,,,,,,,
18,PT11M01.00S,2024-01-15T20:13:48.6Z,1,REGULAR,freethrow,1 of 1,[],1629643,,,1610612753,0,3,2024-01-15T20:13:48Z,180000,False,,,0,,C. Okeke Free Throw 1 of 1 (3 PTS),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
19,PT10M45.00S,2024-01-15T20:14:07.1Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612752,0,3,2024-01-15T20:14:16Z,190000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1629048, 1628384]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,1151.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,
21,PT10M45.00S,2024-01-15T20:14:30.7Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612752,1,3,2024-01-15T20:14:30Z,210000,False,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,
22,PT10M45.00S,2024-01-15T20:14:44.3Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612752,2,3,2024-01-15T20:14:44Z,220000,False,,,0,,O. Anunoby Free Throw 2 of 2 (2 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,
23,PT10M33.00S,2024-01-15T20:14:58.1Z,1,REGULAR,3pt,Jump Shot,[],1631094,30.17411300919842,70.83333333333334,1610612753,2,3,2024-01-15T20:15:03Z,230000,False,-104.0,231.0,1,left,MISS P. Banchero 25' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,25.35,Missed,,,,,,,,,,,,,
