actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-06T00:42:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-06T00:42:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-06T00:42:40.8Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2024-03-06T00:42:40Z,40000,False,,,0,,Jump Ball C. Capela vs. I. Hartenstein: Tip to J. Johnson,"[1630552, 203991, 1628392]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-06T00:42:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.178055190538765,54.166666666666664,1610612737,0,0,2024-03-06T00:43:18Z,70000,False,-21.0,15.0,1,left,MISS C. Capela Layup - blocked,"[203991, 1630540]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.56,Missed,McBride,1630540.0,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-03-06T00:42:56.1Z,1,REGULAR,block,,[],1630540,,,1610612737,0,0,2024-03-06T00:43:00Z,80000,False,,,0,,M. McBride BLOCK (1 BLK),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M46.00S,2024-03-06T00:42:56.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,0,2024-03-06T00:43:18Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-03-06T00:43:16.6Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612737,0,0,2024-03-06T00:43:26Z,100000,False,,,0,,Jump Ball C. Capela vs. M. McBride: Tip to D. Murray,"[1627749, 203991, 1630540]",1610612737.0,ATL,heldball,D. Murray,1627749.0,Murray,D. Murray,Capela,203991.0,McBride,1630540.0,,,,,,,,,,,,,,,,,,,,,,
13,PT11M33.00S,2024-03-06T00:43:27.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,8.754927726675426,51.225490196078425,1610612737,0,0,2024-03-06T00:45:54Z,130000,False,-6.0,30.0,1,left,MISS C. Capela turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,,,,,,
14,PT11M31.00S,2024-03-06T00:43:29.0Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,0,0,2024-03-06T00:43:34Z,140000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M30.00S,2024-03-06T00:43:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,8.754927726675426,51.470588235294116,1610612737,0,0,2024-03-06T00:43:38Z,150000,False,-7.0,30.0,1,left,MISS S. Bey putback Layup - blocked,"[1630180, 1628404]",1610612737.0,ATL,putback,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,3.07,Missed,Hart,1628404.0,,,,,,,,,,,,,,,,
16,PT11M30.00S,2024-03-06T00:43:29.5Z,1,REGULAR,block,,[],1628404,,,1610612737,0,0,2024-03-06T00:43:33Z,160000,False,,,0,,J. Hart BLOCK (1 BLK),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M30.00S,2024-03-06T00:43:29.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,0,2024-03-06T00:43:38Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,15.0,,,,,,,,,,,,,,,
