actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T23:14:01.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T23:14:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-10T23:14:03.5Z,1,REGULAR,jumpball,recovered,[],1628392,,,1610612752,0,0,2024-03-10T23:14:03Z,40000,False,,,0,,Jump Ball P. Achiuwa vs. M. Bamba: Tip to I. Hartenstein,"[1628392, 1630173, 1628964]",1610612752.0,NYK,startperiod,I. Hartenstein,1628392.0,Hartenstein,I. Hartenstein,Achiuwa,1630173.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-03-10T23:14:23.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630173,85.23324572930355,45.34313725490196,1610612752,0,0,2024-03-10T23:14:33Z,70000,False,-23.0,86.0,1,right,MISS P. Achiuwa 8' Hook,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,8.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-03-10T23:14:25.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2024-03-10T23:14:33Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2024-03-10T23:14:46.4Z,1,REGULAR,turnover,out-of-bounds,[],1626162,,,1610612755,0,0,2024-03-10T23:14:54Z,90000,False,,,0,,K. Oubre Jr. lost ball out-of-bounds TURNOVER (1 TO),[1626162],1610612755.0,PHI,lost ball,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,1662.0,1.0,,,,,,,,,,,,
10,PT10M59.00S,2024-03-10T23:15:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628392,94.82588699080158,45.34313725490196,1610612752,2,0,2024-03-10T23:15:33Z,100000,False,-23.0,-4.0,1,right,I. Hartenstein cutting Layup (2 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,
12,PT10M45.00S,2024-03-10T23:15:18.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,13.222733245729303,45.34313725490196,1610612755,2,2,2024-03-10T23:15:22Z,120000,False,23.0,72.0,1,left,T. Harris 7' driving Hook (2 PTS) (K. Lowry 1 AST),"[202699, 200768]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.55,Made,,,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,
14,PT10M30.00S,2024-03-10T23:15:34.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,74.19513797634691,85.29411764705883,1610612752,2,2,2024-03-10T23:15:42Z,140000,False,176.0,190.0,1,right,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.94,Missed,,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2024-03-10T23:15:36.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612755,2,2,2024-03-10T23:15:42Z,150000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M21.00S,2024-03-10T23:15:43.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],200768,21.895532194480946,59.31372549019608,1610612755,2,4,2024-03-10T23:23:31Z,160000,False,-47.0,153.0,1,left,K. Lowry 16' running pullup Jump Shot (2 PTS),[200768],1610612755.0,PHI,running pullup,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Center,16.02,Made,,,,,,,2.0,,,,,,,,,,,
17,PT09M56.00S,2024-03-10T23:16:08.6Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612752,2,4,2024-03-10T23:16:14Z,170000,False,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1626162]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Center,,,,,,,,1.0,,,,,Oubre Jr.,1626162.0,,,,,,
18,PT09M56.00S,2024-03-10T23:16:08.6Z,1,REGULAR,steal,,[],1626162,,,1610612755,2,4,2024-03-10T23:16:45Z,180000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT09M52.00S,2024-03-10T23:16:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,6.1268068331143235,55.14705882352941,1610612755,2,4,2024-03-10T23:16:18Z,190000,False,-26.0,5.0,1,left,MISS T. Harris running Layup - blocked,"[202699, 1630173]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,Achiuwa,1630173.0,,,,
20,PT09M52.00S,2024-03-10T23:16:12.8Z,1,REGULAR,block,,[],1630173,,,1610612755,2,4,2024-03-10T23:16:15Z,200000,False,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
