actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-09T00:41:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-09T00:41:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-09T00:41:55.0Z,1,REGULAR,jumpball,recovered,[],1641710,,,1610612753,0,0,2024-03-09T00:41:55Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. P. Achiuwa: Tip to A. Black,"[1641710, 1628976, 1630173]",1610612753.0,ORL,startperiod,A. Black,1641710.0,Black,A. Black,Carter Jr.,1628976.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-03-09T00:42:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630532,31.225361366622867,65.68627450980392,1610612753,0,0,2024-03-09T00:42:43Z,80000,False,-78.0,241.0,1,left,MISS F. Wagner 25' pullup 3PT - blocked,"[1630532, 1630173]",1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,25.34,Missed,Achiuwa,1630173.0,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-03-09T00:42:30.5Z,1,REGULAR,block,,[],1630173,,,1610612753,0,0,2024-03-09T00:42:33Z,90000,False,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-09T00:42:31.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-03-09T00:42:53Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,,,8.0,,,,,,,,,,,,,,,
11,PT11M34.00S,2024-03-09T00:42:44.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2024-03-09T00:42:50Z,110000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,1830.0,,,,,,,,,,,,,,
13,PT11M19.00S,2024-03-09T00:43:43.5Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612752,0,0,2024-03-09T00:43:46Z,130000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1631094]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Banchero,1631094.0,,,,,,,,,,,
14,PT11M19.00S,2024-03-09T00:43:43.5Z,1,REGULAR,steal,,[],1631094,,,1610612753,0,0,2024-03-09T00:43:45Z,140000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2024-03-09T00:44:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631094,7.440867279894875,50.0,1610612753,0,0,2024-03-09T00:44:19Z,160000,False,0.0,17.0,1,left,MISS P. Banchero driving Layup - blocked,"[1631094, 1628392]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.74,Missed,Hartenstein,1628392.0,,,,,,,,,,,,,,,,
17,PT11M08.00S,2024-03-09T00:44:14.3Z,1,REGULAR,block,,[],1628392,,,1610612753,0,0,2024-03-09T00:44:16Z,170000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M06.00S,2024-03-09T00:44:16.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,0,0,2024-03-09T00:44:19Z,180000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,16.0,,,,,1.0,1.0,0.0,,,,,,,,
19,PT10M55.00S,2024-03-09T00:44:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,93.9060446780552,46.07843137254902,1610612752,0,0,2024-03-09T00:44:33Z,190000,False,-20.0,5.0,1,right,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1628976]",1610612752.0,NYK,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,2.02,Missed,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,
52,PT10M55.00S,2024-03-09T00:44:28.7Z,1,REGULAR,block,,[],1628976,,,1610612752,0,0,2024-03-09T00:50:54Z,195000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2024-03-09T00:44:30.7Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,0,0,2024-03-09T00:50:54Z,200000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,19.0,,,,,1.0,0.0,1.0,,,,,,,,
21,PT10M46.00S,2024-03-09T00:44:36.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628404,94.30026281208936,4.166666666666666,1610612752,3,0,2024-03-09T00:44:41Z,210000,False,-229.0,1.0,1,right,J. Hart 3PT  (3 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,22.92,Made,,,,,,,,,,,3.0,,,,,,,
22,PT10M18.00S,2024-03-09T00:45:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641710,10.5946123521682,53.431372549019606,1610612753,3,0,2024-03-09T00:47:59Z,220000,False,-17.0,47.0,1,left,MISS A. Black driving floating Shot,[1641710],1610612753.0,ORL,driving floating,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2024-03-09T00:45:07.6Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,3,0,2024-03-09T00:45:14Z,230000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,22.0,,,,,2.0,1.0,1.0,,,,,,,,
24,PT10M10.00S,2024-03-09T00:45:12.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.43166885676742,51.9607843137255,1610612752,5,0,2024-03-09T00:45:17Z,240000,False,10.0,0.0,1,right,J. Hart running Layup (5 PTS),[1628404],1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,,,,,5.0,,,,,,,
25,PT09M48.00S,2024-03-09T00:45:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,8.229303547963205,50.98039215686274,1610612753,5,0,2024-03-09T00:45:38Z,250000,False,-5.0,25.0,1,left,MISS A. Black driving Layup - blocked,"[1641710, 1628978]",1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,2.54,Missed,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,
26,PT09M48.00S,2024-03-09T00:45:34.2Z,1,REGULAR,block,,[],1628978,,,1610612753,5,0,2024-03-09T00:45:36Z,260000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2024-03-09T00:45:36.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,5,0,2024-03-09T00:45:38Z,270000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,25.0,,,,,2.0,2.0,0.0,,,,,,,,
28,PT09M42.00S,2024-03-09T00:45:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,94.1688567674113,49.50980392156863,1610612752,7,0,2024-03-09T00:45:47Z,280000,False,-2.0,2.0,1,right,I. Hartenstein cutting Layup (2 PTS) (J. Hart 1 AST),"[1628392, 1628404]",1610612752.0,NYK,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,,,,,,,2.0,J. Hart,1628404.0,1.0,,,,
30,PT09M42.00S,2024-03-09T00:45:46.5Z,1,REGULAR,foul,personal,['1freethrow'],1641710,,,1610612752,7,0,2024-03-09T00:45:54Z,300000,False,,,0,,A. Black shooting personal FOUL (1 PF) (Hartenstein 1 FT),"[1641710, 1628392]",1610612753.0,ORL,shooting,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Hartenstein,1628392.0
32,PT09M42.00S,2024-03-09T00:46:15.4Z,1,REGULAR,freethrow,1 of 1,[],1628392,,,1610612752,8,0,2024-03-09T00:46:15Z,320000,False,,,0,,I. Hartenstein Free Throw 1 of 1 (3 PTS),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
33,PT09M32.00S,2024-03-09T00:46:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,6.389618922470433,47.794117647058826,1610612753,8,2,2024-03-09T00:46:35Z,330000,False,11.0,8.0,1,left,P. Banchero Layup (2 PTS) (W. Carter Jr. 1 AST),"[1631094, 1628976]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,
35,PT09M32.00S,2024-03-09T00:46:33.9Z,1,REGULAR,foul,personal,['1freethrow'],1628404,,,1610612753,8,2,2024-03-09T00:46:39Z,350000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Banchero 1 FT),"[1628404, 1631094]",1610612752.0,NYK,shooting,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Banchero,1631094.0
37,PT09M32.00S,2024-03-09T00:47:09.7Z,1,REGULAR,freethrow,1 of 1,[],1631094,,,1610612753,8,3,2024-03-09T00:47:09Z,370000,False,,,0,,P. Banchero Free Throw 1 of 1 (3 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
38,PT09M22.00S,2024-03-09T00:47:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.77463863337714,48.03921568627451,1610612752,8,3,2024-03-09T00:47:26Z,380000,False,-10.0,6.0,1,right,MISS J. Brunson driving Layup,[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,,,,,,,,,,,,,,
39,PT09M20.00S,2024-03-09T00:47:22.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,3,2024-03-09T00:47:26Z,390000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,38.0,,,,,1.0,1.0,0.0,,,,,,,,
40,PT09M11.00S,2024-03-09T00:47:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.492115637319317,46.568627450980394,1610612753,8,3,2024-03-09T00:47:38Z,400000,False,17.0,27.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1628392]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.23,Missed,Hartenstein,1628392.0,,,,,,,,,,,,,,,,
41,PT09M11.00S,2024-03-09T00:47:32.8Z,1,REGULAR,block,,[],1628392,,,1610612753,8,3,2024-03-09T00:47:34Z,410000,False,,,0,,I. Hartenstein BLOCK (2 BLK),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M10.00S,2024-03-09T00:47:33.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,8,3,2024-03-09T00:47:38Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,40.0,,,,,,,,,,,,,,,
44,PT08M53.00S,2024-03-09T00:47:54.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,81.02825229960578,68.38235294117648,1610612752,10,3,2024-03-09T00:47:57Z,440000,False,92.0,126.0,1,right,J. Brunson 15' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,15.58,Made,,,,,,,,,,,2.0,,,,,,,
45,PT08M38.00S,2024-03-09T00:48:12.6Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,10,3,2024-03-09T00:48:17Z,450000,False,,,0,,W. Carter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,lost ball,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,1627962.0,1.0,,,,,,,,,,,,,
46,PT08M22.00S,2024-03-09T00:48:34.8Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612752,10,3,2024-03-09T00:48:38Z,460000,False,,,0,,P. Achiuwa lost ball out-of-bounds TURNOVER (1 TO),[1630173],1610612752.0,NYK,lost ball,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1627524.0,1.0,,,,,,,,,,,,,
