actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-12T00:41:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T00:41:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-12T00:41:17.2Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-12-12T00:41:17Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Sims: Tip to D. Schroder,"[203471, 1627751, 1630579]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-12T00:41:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.77463863337714,55.63725490196079,1610612761,0,0,2023-12-12T00:42:15Z,70000,False,28.0,6.0,1,right,MISS J. Poeltl cutting Layup,[1627751],1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-12-12T00:41:36.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,0,0,2023-12-12T00:42:02Z,80000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2023-12-12T00:41:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612761,0,0,2023-12-12T00:41:47Z,90000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1630579, 1627751]",1610612752.0,NYK,shooting,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,203591.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
11,PT11M38.00S,2023-12-12T00:41:59.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612761,0,0,2023-12-12T00:41:59Z,110000,False,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M38.00S,2023-12-12T00:41:59.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,0,0,2023-12-12T00:41:59Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M38.00S,2023-12-12T00:42:14.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612761,0,1,2023-12-12T00:42:14Z,130000,False,,,0,,J. Poeltl Free Throw 2 of 2 (1 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M24.00S,2023-12-12T00:42:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,6.1268068331143235,57.35294117647059,1610612752,2,1,2023-12-12T00:43:17Z,140000,False,-37.0,5.0,1,left,R. Barrett driving floating bank Jump Shot (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,driving floating bank,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,,,,,,2.0,J. Randle,203944.0,1.0,,,,,
16,PT11M13.00S,2023-12-12T00:42:40.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,94.69448094612353,49.50980392156863,1610612761,2,3,2023-12-12T00:42:48Z,160000,False,-2.0,-3.0,1,right,J. Poeltl cutting DUNK (3 PTS) (D. Schroder 1 AST),"[1627751, 203471]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.36,Made,,,,,,,,,,3.0,D. Schroder,203471.0,1.0,,,,,
18,PT10M55.00S,2023-12-12T00:42:58.6Z,1,REGULAR,2pt,Jump Shot,[],203944,19.530223390275953,32.1078431372549,1610612752,2,3,2023-12-12T00:44:14Z,180000,False,89.0,131.0,1,left,MISS J. Randle 15' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,15.87,Missed,,,,,,,,,,,,,,,,,,
19,PT10M51.00S,2023-12-12T00:43:02.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,2,3,2023-12-12T00:43:03Z,190000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Right,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,
20,PT10M43.00S,2023-12-12T00:43:11.1Z,1,REGULAR,3pt,Jump Shot,[],1627783,88.64980289093299,1.9607843137254901,1610612761,2,3,2023-12-12T00:46:46Z,200000,False,-240.0,54.0,1,right,MISS P. Siakam 24' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,24.62,Missed,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2023-12-12T00:43:15.1Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,2,3,2023-12-12T00:43:21Z,210000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M33.00S,2023-12-12T00:43:20.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,31.09395532194481,27.941176470588236,1610612752,5,3,2023-12-12T00:46:10Z,220000,False,110.0,240.0,1,left,J. Brunson 26' 3PT running (3 PTS) (D. DiVincenzo 1 AST),"[1628973, 1628978]",1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,26.4,Made,,,,,,,,,,3.0,D. DiVincenzo,1628978.0,1.0,,,,,
25,PT10M29.00S,2023-12-12T00:43:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.43166885676742,52.69607843137255,1610612761,5,5,2023-12-12T01:50:15Z,240000,False,13.0,0.0,1,right,P. Siakam driving finger roll Layup (2 PTS) (D. Schroder 2 AST),"[1627783, 203471]",1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,,2.0,D. Schroder,203471.0,2.0,,,,,
26,PT10M28.00S,2023-12-12T00:43:37.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,5,5,2023-12-12T01:04:00Z,250000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M13.00S,2023-12-12T00:46:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,30.56833114323259,31.127450980392158,1610612752,8,5,2023-12-12T00:46:52Z,260000,False,94.0,235.0,1,left,J. Brunson 25' 3PT pullup (6 PTS) (D. DiVincenzo 2 AST),"[1628973, 1628978]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.31,Made,,,,,,,,,,6.0,D. DiVincenzo,1628978.0,2.0,,,,,
32,PT09M58.00S,2023-12-12T00:46:55.1Z,1,REGULAR,3pt,Jump Shot,[],203471,67.36202365308804,36.029411764705884,1610612761,8,8,2023-12-12T00:48:38Z,280000,False,-70.0,254.0,1,right,D. Schroder 26' 3PT pullup (3 PTS),[203471],1610612761.0,TOR,pullup,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,26.37,Made,,,,,,,,,,3.0,,,,,,,,
33,PT09M38.00S,2023-12-12T00:47:15.0Z,1,REGULAR,3pt,Jump Shot,[],203944,25.969119579500656,17.892156862745097,1610612752,11,8,2023-12-12T00:47:22Z,290000,False,161.0,192.0,1,left,J. Randle 24' 3PT  (3 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.99,Made,,,,,,,,,,3.0,R. Barrett,1629628.0,1.0,,,,,
35,PT09M14.00S,2023-12-12T00:47:38.8Z,1,REGULAR,2pt,Jump Shot,[],1628384,73.27529566360053,41.17647058823529,1610612761,11,8,2023-12-12T00:49:39Z,310000,False,-44.0,199.0,1,right,MISS O. Anunoby 20' step back Shot,[1628384],1610612761.0,TOR,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,20.35,Missed,,,,,,,,,,,,,,,,,,
36,PT09M11.00S,2023-12-12T00:47:41.8Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,11,8,2023-12-12T00:47:46Z,320000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M04.00S,2023-12-12T00:47:49.1Z,1,REGULAR,3pt,Jump Shot,[],203944,30.17411300919842,28.431372549019606,1610612752,11,8,2023-12-12T00:47:56Z,330000,False,108.0,231.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.5,Missed,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2023-12-12T00:47:53.1Z,1,REGULAR,rebound,defensive,[],203471,,,1610612761,11,8,2023-12-12T00:47:56Z,340000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Right Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M55.00S,2023-12-12T00:47:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.69448094612353,53.18627450980392,1610612761,11,8,2023-12-12T00:50:55Z,350000,False,16.0,-3.0,1,right,MISS J. Poeltl Layup - blocked,"[1627751, 1628978]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,DiVincenzo,1628978.0,,,
40,PT08M55.00S,2023-12-12T00:47:58.2Z,1,REGULAR,block,,[],1628978,,,1610612761,11,8,2023-12-12T00:48:00Z,360000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2023-12-12T00:48:01.2Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,11,8,2023-12-12T00:48:05Z,370000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,39.0,3.0,1.0,2.0,,,,,,,,,,,,,,
42,PT08M51.00S,2023-12-12T00:48:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.69448094612353,53.92156862745098,1610612761,11,10,2023-12-12T00:48:08Z,380000,False,20.0,-3.0,1,right,J. Poeltl putback Layup (5 PTS),[1627751],1610612761.0,TOR,putback,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,,,,5.0,,,,,,,,
