actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-01T00:41:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-01T00:41:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-01T00:41:22.7Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2023-12-01T00:41:22Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Duren: Tip to R. Barrett,"[1629628, 1629011, 1631105]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Robinson,1629011.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-12-01T00:41:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,14.273981603153747,48.03921568627451,1610612752,0,0,2023-12-01T00:41:45Z,70000,False,10.0,82.0,1,left,MISS J. Brunson 8' turnaround Shot,[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.23,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-01T00:41:38.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2023-12-01T00:41:45Z,80000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-12-01T00:41:42.7Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,0,0,2023-12-01T00:41:48Z,90000,False,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1630595]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,Cunningham,1630595.0,,,,,,,,,,,
10,PT11M36.00S,2023-12-01T00:41:42.7Z,1,REGULAR,steal,,[],1630595,,,1610612765,0,0,2023-12-01T00:41:45Z,100000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2023-12-01T00:41:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630595,94.82588699080158,49.754901960784316,1610612765,0,2,2023-12-01T00:41:56Z,110000,False,-1.0,-4.0,1,right,C. Cunningham running DUNK (2 PTS),[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M08.00S,2023-12-01T00:42:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,5.863994743758213,51.9607843137255,1610612752,2,2,2023-12-01T00:42:15Z,120000,False,-10.0,3.0,1,left,R. Barrett driving Layup (2 PTS),[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,2.0,,,,,,,,,,
13,PT10M51.00S,2023-12-01T00:42:33.2Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,2,2,2023-12-01T00:42:41Z,130000,False,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,,1627962.0,,,,,,,,,
14,PT10M45.00S,2023-12-01T00:42:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612752,2,2,2023-12-01T00:42:48Z,140000,False,,,0,,K. Hayes shooting personal FOUL (1 PF) (Brunson 2 FT),"[1630165, 1628973]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Brunson,1628973.0,,,,,
16,PT10M45.00S,2023-12-01T00:43:10.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628973,,,1610612752,3,2,2023-12-01T00:43:10Z,160000,False,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
17,PT10M45.00S,2023-12-01T00:43:29.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628973,,,1610612752,4,2,2023-12-01T00:43:29Z,170000,False,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
