actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-18T00:41:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-18T00:41:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-18T00:41:17.3Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-01-18T00:41:17Z,40000,False,,,0,,Jump Ball A. Sengun vs. I. Hartenstein: Tip to J. Smith Jr.,"[1631095, 1630578, 1628392]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-18T00:41:29.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.69842312746385,76.7156862745098,1610612745,0,0,2024-01-18T00:41:36Z,70000,False,134.0,214.0,1,right,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-18T00:41:31.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,0,2024-01-18T00:41:36Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-01-18T00:41:47.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,5.732588699080158,96.81372549019608,1610612752,0,0,2024-01-18T00:41:53Z,90000,False,-234.0,1.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-01-18T00:41:49.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-01-18T00:41:53Z,100000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M08.00S,2024-01-18T00:42:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,94.30026281208936,46.81372549019608,1610612745,0,2,2024-01-18T00:42:10Z,110000,False,-16.0,1.0,1,right,D. Brooks Layup (2 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
13,PT10M45.00S,2024-01-18T00:42:28.8Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612752,0,2,2024-01-18T00:42:33Z,130000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1630224]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Green,1630224.0,,,,,,,
14,PT10M45.00S,2024-01-18T00:42:28.8Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,2,2024-01-18T00:42:31Z,140000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M34.00S,2024-01-18T00:42:43.5Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,2,2024-01-18T00:42:54Z,150000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1628953.0,,,,,,
