actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-29T00:41:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-29T00:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-29T00:41:15.0Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-11-29T00:41:15Z,40000,False,,,0,,Jump Ball M. Robinson vs. M. Williams: Tip to J. Brunson,"[1628973, 1629011, 1631109]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-29T00:41:32.5Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612752,0,0,2023-11-29T00:41:40Z,70000,False,,,0,,G. Hayward shooting personal FOUL (1 PF) (Barrett 2 FT),"[202330, 1629628]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,202035.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-11-29T00:41:55.1Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,1,0,2023-11-29T00:41:55Z,90000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M41.00S,2023-11-29T00:42:05.1Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,2,0,2023-11-29T00:42:05Z,100000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2023-11-29T00:42:23.1Z,1,REGULAR,2pt,Jump Shot,[],1628970,90.48948751642575,68.13725490196079,1610612766,2,0,2023-11-29T00:42:32Z,110000,False,91.0,37.0,1,right,MISS M. Bridges 9' turnaround Shot,[1628970],1610612766.0,CHA,turnaround,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,Missed,,9.79,,,,,,,,,,,,
12,PT11M22.00S,2023-11-29T00:42:25.1Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,0,2023-11-29T00:42:32Z,120000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M14.00S,2023-11-29T00:42:32.9Z,1,REGULAR,3pt,Jump Shot,[],203944,28.33442838370565,76.9607843137255,1610612752,5,0,2023-11-29T00:42:37Z,130000,False,-135.0,214.0,1,left,J. Randle 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.27,,,,,J. Brunson,1628973.0,1.0,,,,,
15,PT10M57.00S,2023-11-29T00:42:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,93.64323258869908,43.627450980392155,1610612766,5,0,2023-11-29T00:42:54Z,150000,False,-32.0,7.0,1,right,MISS B. Miller driving Layup - blocked,"[1641706, 1629011]",1610612766.0,CHA,driving,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.27,,,,,,,,Robinson,1629011.0,,,
16,PT10M57.00S,2023-11-29T00:42:50.2Z,1,REGULAR,block,,[],1629011,,,1610612766,5,0,2023-11-29T00:42:52Z,160000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2023-11-29T00:42:52.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,5,0,2023-11-29T00:42:54Z,170000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
18,PT10M50.00S,2023-11-29T00:42:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,7.440867279894875,51.9607843137255,1610612752,5,0,2023-11-29T00:43:08Z,180000,False,-10.0,17.0,1,left,MISS R. Barrett running Layup,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.0,,,,,,,,,,,,
20,PT10M48.00S,2023-11-29T00:42:59.6Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,5,0,2023-11-29T00:43:08Z,200000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
21,PT10M41.00S,2023-11-29T00:43:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,93.38042049934296,47.794117647058826,1610612766,5,2,2023-11-29T00:43:19Z,210000,False,-11.0,10.0,1,right,T. Rozier running Layup (2 PTS),[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.47,,,,,,,,,,,,
22,PT10M23.00S,2023-11-29T00:43:24.3Z,1,REGULAR,3pt,Jump Shot,[],203944,29.77989487516426,71.32352941176471,1610612752,5,2,2023-11-29T00:43:30Z,220000,False,-107.0,227.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.11,,,,,,,,,,,,
23,PT10M21.00S,2023-11-29T00:43:26.3Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,5,2,2023-11-29T00:43:30Z,230000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,
24,PT10M06.00S,2023-11-29T00:43:41.6Z,1,REGULAR,2pt,Jump Shot,[],1626179,88.25558475689881,81.12745098039215,1610612766,5,2,2023-11-29T00:43:48Z,240000,False,156.0,58.0,1,right,MISS T. Rozier 16' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right,,,,,,Missed,,16.6,,,,,,,,,,,,
25,PT10M04.00S,2023-11-29T00:43:43.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,2,2023-11-29T00:43:48Z,250000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT09M52.00S,2023-11-29T00:43:55.1Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612752,5,2,2023-11-29T00:43:59Z,260000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1641706]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Miller,1641706.0
27,PT09M52.00S,2023-11-29T00:43:55.1Z,1,REGULAR,steal,,[],1641706,,,1610612766,5,2,2023-11-29T00:43:56Z,270000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M38.00S,2023-11-29T00:44:08.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202330,81.15965834428384,35.53921568627451,1610612766,5,4,2023-11-29T00:44:12Z,280000,False,-72.0,125.0,1,right,G. Hayward 14' pullup Jump Shot (2 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,14.41,,,,,,,,,,,,
29,PT09M22.00S,2023-11-29T00:44:25.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.136005256241788,54.90196078431373,1610612752,7,4,2023-11-29T00:46:31Z,290000,False,-25.0,127.0,1,left,J. Randle 12' turnaround fadeaway Jump Shot (5 PTS),[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,5.0,12.97,,,,,,,,,,,,
