actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-29T00:10:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-29T00:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-29T00:10:55.7Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-12-29T00:10:55Z,40000,False,,,0,,Jump Ball D. Ayton vs. K. Porzingis: Tip to C. Paul,"[101108, 1629028, 204001]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-29T00:11:10.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,74.98357424441524,56.86274509803921,1610612756,0,2,2022-12-29T00:11:14Z,70000,False,34.0,183.0,1,right,D. Ayton 18' Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,18.59,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-12-29T00:11:26.2Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612764,0,2,2022-12-29T00:11:34Z,90000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1628470, 1628398]",1610612756.0,PHX,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,
11,PT11M29.00S,2022-12-29T00:11:59.9Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,1,2,2022-12-29T00:11:59Z,110000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2022-12-29T00:12:22.7Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,2,2,2022-12-29T00:12:22Z,120000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2022-12-29T00:12:39.7Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,2,2,2022-12-29T00:12:46Z,130000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1630557]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Kispert,1630557.0,,,,,,
14,PT11M13.00S,2022-12-29T00:12:39.7Z,1,REGULAR,steal,,[],1630557,,,1610612764,2,2,2022-12-29T00:12:42Z,140000,False,,,0,,C. Kispert STEAL (1 STL),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-12-29T00:12:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,6.521024967148489,46.81372549019608,1610612764,4,2,2022-12-29T00:12:51Z,150000,False,16.0,9.0,1,left,M. Morris running Layup (2 PTS),[1628420],1610612764.0,WAS,running,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-12-29T00:13:05.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,78.79434954007884,49.754901960784316,1610612756,4,2,2022-12-29T00:13:57Z,160000,False,-1.0,147.0,1,right,MISS D. Ayton 14' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,14.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2022-12-29T00:13:06.6Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,4,2,2022-12-29T00:13:11Z,170000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,
18,PT10M44.00S,2022-12-29T00:13:09.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,89.30683311432325,52.20588235294118,1610612756,4,2,2022-12-29T00:14:09Z,180000,False,11.0,48.0,1,right,MISS D. Ayton putback Layup,[1629028],1610612756.0,PHX,putback,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2022-12-29T00:13:09.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,2,2022-12-29T00:13:14Z,190000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,
20,PT10M33.00S,2022-12-29T00:13:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,12.828515111695138,54.65686274509803,1610612764,6,2,2022-12-29T00:13:26Z,200000,False,-23.0,68.0,1,left,K. Kuzma 7' fadeaway Jump Shot (4 PTS),[1628398],1610612764.0,WAS,fadeaway,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.2,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2022-12-29T00:13:42.2Z,1,REGULAR,2pt,Jump Shot,[],1628969,78.26872536136662,59.068627450980394,1610612756,6,2,2022-12-29T00:13:46Z,210000,False,45.0,152.0,1,right,MISS M. Bridges 15' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,15.84,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2022-12-29T00:13:46.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,6,2,2022-12-29T00:13:46Z,220000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,
23,PT10M03.00S,2022-12-29T00:13:50.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",204001,5.469776609724048,55.63725490196079,1610612764,8,2,2022-12-29T00:17:03Z,230000,False,-28.0,-1.0,1,left,K. Porzingis running DUNK (2 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,running,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,2.82,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
25,PT09M42.00S,2022-12-29T00:14:13.2Z,1,REGULAR,turnover,traveling,[],1629028,,,1610612756,8,2,2022-12-29T00:14:20Z,250000,False,,,0,,D. Ayton traveling TURNOVER (1 TO),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627962.0,,,,,1.0,,,,,,,,
26,PT09M23.00S,2022-12-29T00:14:43.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",204001,6.783837056504599,47.30392156862745,1610612764,10,2,2022-12-29T00:17:44Z,260000,False,13.0,11.0,1,left,K. Porzingis driving bank Hook (4 PTS) (M. Morris 2 AST),"[204001, 1628420]",1610612764.0,WAS,driving bank,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,1.76,Made,4.0,M. Morris,1628420.0,2.0,,,,,,,,,,,,,,
