actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-22T00:10:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-22T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-22T00:10:55.5Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612764,0,0,2023-01-22T00:10:55Z,40000,False,,,0,,Jump Ball K. Porzingis vs. W. Carter Jr.: Tip to M. Morris,"[1628420, 204001, 1628976]",1610612764.0,WAS,startperiod,M. Morris,1628420.0,Morris,M. Morris,Porzingis,204001.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-22T00:11:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,9.773324572930349,38.725490196078425,1610612764,0,0,2023-01-22T00:11:17Z,70000,False,56.0,39.0,1,left,MISS D. Gafford 6' Layup,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,6.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-01-22T00:11:16.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2023-01-22T00:11:17Z,80000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-01-22T00:11:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628365,65.75229960578187,42.892156862745104,1610612753,0,0,2023-01-22T00:11:50Z,90000,False,-36.0,269.0,1,right,MISS M. Fultz 27' 3PT,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Center,27.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-01-22T00:11:25.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2023-01-22T00:11:50Z,100000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2023-01-22T00:11:35.3Z,1,REGULAR,2pt,Jump Shot,[],203078,29.221419185282528,44.85294117647059,1610612764,0,0,2023-01-22T00:12:09Z,110000,False,26.0,222.0,1,left,MISS B. Beal 22' step back Shot,[203078],1610612764.0,WAS,step back,,,Beal,B. Beal,,,,,Mid-Range,16-24 Center,22.37,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-22T00:11:39.3Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2023-01-22T00:23:13Z,120000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
86,PT11M11.00S,2023-01-22T00:11:39.9Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612764,0,0,2023-01-22T00:24:10Z,125000,False,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1628365]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Fultz,1628365.0,,,,,,,,,,,
87,PT11M11.00S,2023-01-22T00:11:39.9Z,1,REGULAR,steal,,[],1628365,,,1610612753,0,0,2023-01-22T00:24:10Z,127500,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
