actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
35,PT08M44.00S,2023-03-11T00:15:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.459264126149804,38.725490196078425,1610612764,12,7,2023-03-11T00:15:14Z,350000,False,56.0,27.0,1,left,B. Beal 6' driving Layup (4 PTS) (M. Morris 2 AST),"[203078, 1628420]",1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,,In The Paint (Non-RA),0-8 Center,6.25,Made,4.0,,,,,M. Morris,1628420.0,2.0,,,,,,,,,
37,PT08M40.00S,2023-03-11T00:15:16.4Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,12,7,2023-03-11T00:15:23Z,370000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,202041.0,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,
38,PT08M21.00S,2023-03-11T00:15:44.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",204001,7.013797634691201,59.80392156862745,1610612764,12,7,2023-03-11T00:18:03Z,380000,False,-49.0,13.0,1,left,MISS K. Porzingis turnaround Hook - blocked,"[204001, 203991]",1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,,In The Paint (Non-RA),0-8 Center,5.08,Missed,,,,,,,,,,,,,,,,Capela,203991.0
39,PT08M21.00S,2023-03-11T00:15:44.8Z,1,REGULAR,block,,[],203991,,,1610612764,12,7,2023-03-11T00:15:47Z,390000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
40,PT08M21.00S,2023-03-11T00:15:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,12,7,2023-03-11T00:15:49Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,38.0,,,,,,,,,,,,,,,
42,PT08M18.00S,2023-03-11T00:16:04.0Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,12,7,2023-03-11T00:16:12Z,420000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1629027]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Young,1629027.0,,,,,,
43,PT08M18.00S,2023-03-11T00:16:04.0Z,1,REGULAR,steal,,[],1629027,,,1610612737,12,7,2023-03-11T00:16:41Z,430000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
44,PT08M11.00S,2023-03-11T00:16:10.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629631,71.00854139290408,16.666666666666657,1610612737,12,7,2023-03-11T00:19:06Z,440000,False,-167.0,220.0,1,right,MISS D. Hunter 27' running pullup 3PT,[1629631],1610612737.0,ATL,running pullup,,,Hunter,D. Hunter,,,,,,Above the Break 3,24+ Left Center,27.6,Missed,,,,,,,,,,,,,,,,,
45,PT08M07.00S,2023-03-11T00:16:14.5Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,12,7,2023-03-11T00:19:06Z,450000,False,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,Above the Break 3,24+ Left Center,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,
46,PT08M06.00S,2023-03-11T00:16:15.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203991,93.08475689881735,47.549019607843135,1610612737,12,9,2023-03-11T00:16:20Z,460000,False,-12.0,13.0,1,right,C. Capela DUNK (2 PTS) (D. Murray 2 AST),"[203991, 1627749]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,,,,,D. Murray,1627749.0,2.0,,,,,,,,,
