actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-28T23:46:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T23:46:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-28T23:46:23.7Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-10-28T23:46:23Z,40000,,,0,,Jump Ball K. Porzingis vs. M. Turner: Tip to K. Kuzma,"[1628398, 204001, 1626167]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-28T23:46:38.5Z,1,REGULAR,3pt,Jump Shot,[],204001,26.72470433639947,81.86274509803921,1610612764,0,0,2022-10-28T23:46:43Z,70000,-159.0,199.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,25.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-10-28T23:46:41.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,0,0,2022-10-28T23:46:43Z,80000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-28T23:46:54.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.01511169513799,41.17647058823529,1610612754,0,3,2022-10-28T23:46:59Z,90000,-44.0,267.0,1,right,M. Turner 27' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.06,Made,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
11,PT11M02.00S,2022-10-28T23:47:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,9.510512483574246,48.28431372549019,1610612764,2,3,2022-10-28T23:47:24Z,110000,9.0,37.0,1,left,B. Beal driving finger roll Layup (2 PTS),[203078],1610612764.0,WAS,driving finger roll,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,3.79,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M50.00S,2022-10-28T23:47:30.4Z,1,REGULAR,3pt,Jump Shot,[],1630174,88.61695137976346,3.4313725490196134,1610612754,2,3,2022-10-28T23:47:34Z,120000,-233.0,55.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,23.91,Missed,,,,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-10-28T23:47:33.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,2,3,2022-10-28T23:47:34Z,130000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M29.00S,2022-10-28T23:47:50.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,18.577529566360056,5.637254901960787,1610612764,5,3,2022-10-28T23:47:56Z,140000,222.0,122.0,1,left,D. Avdija 25' 3PT  (3 PTS) (B. Beal 1 AST),"[1630166, 203078]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.32,Made,,,,,3.0,B. Beal,203078.0,1.0,,,,,,,,,,
16,PT10M14.00S,2022-10-28T23:48:05.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,68.11760840998686,72.05882352941177,1610612754,5,3,2022-10-28T23:48:10Z,160000,110.0,247.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
17,PT10M12.00S,2022-10-28T23:48:07.5Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,5,3,2022-10-28T23:48:10Z,170000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M09.00S,2022-10-28T23:48:11.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630166,25.936268068331145,12.25490196078431,1610612764,5,3,2022-10-28T23:48:19Z,180000,189.0,191.0,1,left,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,26.87,Missed,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2022-10-28T23:48:14.7Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,5,3,2022-10-28T23:48:14Z,190000,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M04.00S,2022-10-28T23:48:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,6.8823915900131425,49.754901960784316,1610612764,7,3,2022-10-28T23:48:22Z,200000,1.0,12.0,1,left,D. Avdija driving Layup (5 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,5.0,,,,,,,,,,,,,
21,PT09M50.00S,2022-10-28T23:48:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,89.4053876478318,47.549019607843135,1610612754,7,5,2022-10-28T23:48:41Z,210000,-12.0,47.0,1,right,J. Smith Layup (2 PTS) (M. Turner 1 AST),"[1630188, 1626167]",1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,4.87,Made,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,
23,PT09M41.00S,2022-10-28T23:48:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,8.853482260183966,49.50980392156863,1610612764,7,5,2022-10-28T23:48:44Z,230000,2.0,31.0,1,left,MISS K. Kuzma Layup,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,3.08,Missed,,,,,,,,,,,,,,,,,,
