actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-24T23:11:15.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-24T23:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-24T23:11:17.3Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612764,0,0,2023-03-24T23:11:17Z,40000,False,,,0,,Jump Ball K. Porzingis vs. S. Mamukelashvili: Tip to M. Morris,"[1628420, 204001, 1630572]",1610612764.0,WAS,startperiod,M. Morris,1628420.0,Morris,M. Morris,Porzingis,204001.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-03-24T23:11:29.4Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612764,0,0,2023-03-24T23:13:12Z,70000,False,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 1630200]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,1.0,Jones,1630200.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-03-24T23:11:29.4Z,1,REGULAR,steal,,[],1630200,,,1610612759,0,0,2023-03-24T23:12:03Z,80000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-03-24T23:11:33.3Z,1,REGULAR,turnover,lost ball,[],1629640,,,1610612759,0,0,2023-03-24T23:11:37Z,90000,False,,,0,,K. Johnson lost ball TURNOVER (1 TO),"[1629640, 1630166]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,1.0,Avdija,1630166.0,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2023-03-24T23:11:33.3Z,1,REGULAR,steal,,[],1630166,,,1610612764,0,0,2023-03-24T23:11:35Z,100000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2023-03-24T23:11:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,91.5407358738502,49.754901960784316,1610612764,2,0,2023-03-24T23:11:42Z,110000,False,-1.0,27.0,1,right,M. Morris running Layup (2 PTS),[1628420],1610612764.0,WAS,running,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,,2.7,Made,2.0,,,,,,,,,,,,,,
12,PT11M24.00S,2023-03-24T23:11:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,16.63929040735874,40.19607843137255,1610612759,2,2,2023-03-24T23:13:36Z,120000,False,49.0,104.0,1,left,M. Branham 11' driving floating Jump Shot (2 PTS),[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,,11.49,Made,2.0,,,,,,,,,,,,,,
13,PT11M10.00S,2023-03-24T23:12:04.8Z,1,REGULAR,2pt,Jump Shot,[],1630557,87.33574244415243,33.82352941176471,1610612764,4,2,2023-03-24T23:12:14Z,130000,False,-81.0,67.0,1,right,C. Kispert 10' fadeaway Jump Shot (2 PTS) (M. Morris 1 AST),"[1630557, 1628420]",1610612764.0,WAS,fadeaway,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Left,,,,10.47,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,
15,PT10M54.00S,2023-03-24T23:12:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,7.5722733245729295,50.98039215686274,1610612759,4,4,2023-03-24T23:12:29Z,150000,False,-5.0,19.0,1,left,S. Mamukelashvili cutting finger roll Layup (2 PTS) (K. Johnson 1 AST),"[1630572, 1629640]",1610612759.0,SAS,cutting finger roll,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,,1.93,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,
