actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-09T00:10:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-09T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-09T00:10:32.5Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2023-03-09T00:10:32Z,40000,False,,,0,,Jump Ball C. Capela vs. K. Porzingis: Tip to D. Hunter,"[1629631, 203991, 204001]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Capela,203991.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-03-09T00:10:49.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,85.20039421813404,45.58823529411765,1610612737,0,2,2023-03-09T00:10:59Z,70000,False,-22.0,87.0,1,right,T. Young 8' driving floating Jump Shot (2 PTS) (C. Capela 1 AST),"[1629027, 203991]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,8.94,Made,2.0,C. Capela,203991.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-03-09T00:11:04.1Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,0,2,2023-03-09T00:11:23Z,90000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1629027]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Young,1629027.0,,,,,,,,,,,
10,PT11M25.00S,2023-03-09T00:11:04.1Z,1,REGULAR,steal,,[],1629027,,,1610612737,0,2,2023-03-09T00:11:23Z,100000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2023-03-09T00:11:10.7Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612737,0,2,2023-03-09T00:11:18Z,110000,False,,,0,,B. Beal shooting personal FOUL (1 PF) (Murray 2 FT),"[203078, 1627749]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,1.0,0.0,Murray,1627749.0,,,,,,
13,PT11M23.00S,2023-03-09T00:11:40.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627749,,,1610612737,0,3,2023-03-09T00:11:40Z,130000,False,,,0,,D. Murray Free Throw 1 of 2 (1 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2023-03-09T00:11:56.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627749,,,1610612737,0,4,2023-03-09T00:11:56Z,140000,False,,,0,,D. Murray Free Throw 2 of 2 (2 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2023-03-09T00:12:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,15.160972404730614,53.92156862745098,1610612764,2,4,2023-03-09T00:12:18Z,150000,False,-20.0,90.0,1,left,B. Beal 9' driving floating Jump Shot (2 PTS),[203078],1610612764.0,WAS,driving floating,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,9.21,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2023-03-09T00:12:29.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.08475689881735,46.568627450980394,1610612737,2,4,2023-03-09T00:12:36Z,160000,False,-17.0,13.0,1,right,MISS C. Capela alley-oop DUNK,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.13,Missed,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2023-03-09T00:12:32.8Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,2,4,2023-03-09T00:12:32Z,170000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,
18,PT10M49.00S,2023-03-09T00:12:33.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,85.3318002628121,51.71568627450981,1610612737,2,6,2023-03-09T00:12:39Z,180000,False,9.0,85.0,1,right,T. Young 8' pullup Jump Shot (4 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,8.58,Made,4.0,,,,,,,,,,,,,,,,,
