actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-09T17:12:53.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T17:12:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-09T17:12:57.2Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-04-09T17:12:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. I. Todd: Tip to J. Smith Jr.,"[1631095, 1630578, 1630225]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Todd,1630225.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2023-04-09T17:13:00.5Z,1,REGULAR,foul,personal,[],1631098,,,1610612745,0,0,2023-04-09T17:13:11Z,70000,False,,,0,,J. Davis personal FOUL (1 PF),"[1631098, 1631095]",1610612764.0,WAS,,,,Davis,J. Davis,,,,,In The Paint (Non-RA),0-8 Center,202901.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2023-04-09T17:13:24.3Z,1,REGULAR,2pt,Jump Shot,[],1630528,78.63009198423127,50.49019607843137,1610612745,0,2,2023-04-09T17:13:28Z,90000,False,2.0,148.0,1,right,J. Christopher 14' pullup Jump Shot (2 PTS),[1630528],1610612745.0,HOU,pullup,,,Christopher,J. Christopher,,,,,Mid-Range,8-16 Center,,,,,,14.84,Made,2.0,,,,,,,,,,,,
10,PT11M34.00S,2023-04-09T17:13:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630692,19.365965834428394,4.656862745098039,1610612764,0,2,2023-04-09T17:13:45Z,100000,False,227.0,130.0,1,left,MISS J. Goodwin 26' 3PT - blocked,"[1630692, 1630578]",1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,,,,,,26.11,Missed,,Sengun,1630578.0,,,,,,,,,,
11,PT11M34.00S,2023-04-09T17:13:40.3Z,1,REGULAR,block,,[],1630578,,,1610612764,0,2,2023-04-09T17:13:43Z,110000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2023-04-09T17:13:44.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,2,2023-04-09T17:13:45Z,120000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,
13,PT11M27.00S,2023-04-09T17:13:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630528,92.0335085413929,48.529411764705884,1610612745,0,4,2023-04-09T18:05:45Z,130000,False,-7.0,22.0,1,right,J. Christopher running Layup (4 PTS),[1630528],1610612745.0,HOU,running,,,Christopher,J. Christopher,,,,,Restricted Area,0-8 Center,,,,,,2.36,Made,4.0,,,,,,,,,,,,
15,PT11M19.00S,2023-04-09T17:13:55.3Z,1,REGULAR,3pt,Jump Shot,[],1631098,32.637976346911955,66.66666666666667,1610612764,0,4,2023-04-09T17:13:59Z,150000,False,-83.0,254.0,1,left,MISS J. Davis 26' 3PT,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,26.76,Missed,,,,,,,,,,,,,
16,PT11M15.00S,2023-04-09T17:13:59.3Z,1,REGULAR,rebound,offensive,[],1630557,,,1610612764,0,4,2023-04-09T17:13:59Z,160000,False,,,0,,C. Kispert REBOUND (Off:1 Def:0),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,
