actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-21T23:15:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:15:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2022-10-21T23:15:26.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-10-21T23:18:27Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612764.0,WAS,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-10-21T23:15:30.6Z,1,REGULAR,jumpball,recovered,[],202696,,,1610612741,0,0,2022-10-21T23:15:30Z,40000,,,0,,Jump Ball A. Caruso vs. K. Porzingis: Tip to N. Vucevic,"[202696, 1627936, 204001]",1610612741.0,CHI,,startperiod,N. Vucevic,202696.0,Vucevic,N. Vucevic,Caruso,1627936.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-10-21T23:15:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630245,8.459264126149804,47.30392156862745,1610612741,0,2,2022-10-21T23:16:28Z,70000,13.0,27.0,1,left,A. Dosunmu driving DUNK (2 PTS),[1630245],1610612741.0,CHI,,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,3.02,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-10-21T23:16:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,92.42772667542707,47.549019607843135,1610612764,2,2,2022-10-21T23:17:20Z,90000,-12.0,19.0,1,right,B. Beal cutting Layup (2 PTS) (K. Kuzma 1 AST),"[203078, 1628398]",1610612764.0,WAS,,cutting,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,
11,PT11M08.00S,2022-10-21T23:16:16.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,8.984888304862025,46.81372549019608,1610612741,2,4,2022-10-21T23:18:56Z,110000,16.0,32.0,1,left,N. Vucevic turnaround Hook (2 PTS),[202696],1610612741.0,CHI,,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.57,Made,2.0,,,,,,,,,,,,,,,,
12,PT10M56.00S,2022-10-21T23:16:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.32522996057818,48.0392156862745,1610612764,4,4,2022-10-21T23:16:35Z,120000,-10.0,38.0,1,right,B. Beal driving reverse Layup (4 PTS),[203078],1610612764.0,WAS,,driving reverse,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,3.96,Made,4.0,,,,,,,,,,,,,,,,
13,PT10M30.00S,2022-10-21T23:16:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,34.477660972404735,63.48039215686275,1610612741,4,4,2022-10-21T23:16:59Z,130000,-67.0,272.0,1,left,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,27.98,Missed,,,,,,,,,,,,,,,,,
14,PT10M27.00S,2022-10-21T23:16:57.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,4,2022-10-21T23:16:57Z,140000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M20.00S,2022-10-21T23:17:07.1Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612764,4,4,2022-10-21T23:17:17Z,150000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Kuzma 2 FT),"[201942, 1628398]",1610612741.0,CHI,2003.0,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Kuzma,1628398.0,,,,,
17,PT10M20.00S,2022-10-21T23:17:37.9Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,4,4,2022-10-21T23:17:37Z,170000,,,0,,MISS K. Kuzma Free Throw 1 of 2,[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2022-10-21T23:17:37.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,4,4,2022-10-21T23:17:37Z,180000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
19,PT10M20.00S,2022-10-21T23:17:56.9Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,5,4,2022-10-21T23:17:56Z,190000,,,0,,K. Kuzma Free Throw 2 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,,Kuzma,K. Kuzma,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
