actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-20T23:11:09.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-20T23:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-11-20T23:11:10.5Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2022-11-20T23:11:10Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Plumlee: Tip to C. Kispert,"[1630557, 204001, 203486]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-20T23:11:20.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,34.247700394218136,55.88235294117647,1610612764,3,0,2022-11-20T23:11:49Z,70000,False,-29.0,269.0,1,left,K. Kuzma 27' 3PT  (3 PTS) (C. Kispert 1 AST),"[1628398, 1630557]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,27.1,Made,3.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-11-20T23:11:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,84.05059132720105,48.77450980392157,1610612766,3,0,2022-11-20T23:11:43Z,90000,False,-6.0,97.0,1,right,MISS P. Washington 9' floating Shot - blocked,"[1629023, 204001]",1610612766.0,CHA,floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,9.76,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
10,PT11M27.00S,2022-11-20T23:11:39.0Z,1,REGULAR,block,,[],204001,,,1610612766,3,0,2022-11-20T23:11:41Z,100000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-11-20T23:11:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,3,0,2022-11-20T23:11:43Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.0,,,,,,,,,,,
13,PT11M21.00S,2022-11-20T23:12:03.0Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,3,0,2022-11-20T23:12:16Z,130000,False,,,0,,G. Hayward lost ball out-of-bounds TURNOVER (1 TO),[202330],1610612766.0,CHA,lost ball,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,,,,,,,,,,200833.0,1.0,,,,,,,,,
14,PT11M10.00S,2022-11-20T23:12:19.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630557,21.632720105124836,54.90196078431373,1610612764,3,0,2022-11-20T23:12:24Z,140000,False,-25.0,151.0,1,left,MISS C. Kispert 15' pullup Shot,[1630557],1610612764.0,WAS,pullup,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Center,15.28,Missed,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2022-11-20T23:12:23.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,0,2022-11-20T23:12:24Z,150000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Center,,,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,
16,PT10M59.00S,2022-11-20T23:12:30.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,73.40670170827858,84.55882352941177,1610612766,3,0,2022-11-20T23:12:35Z,160000,False,173.0,197.0,1,right,MISS K. Oubre Jr. 26' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,26.24,Missed,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2022-11-20T23:12:33.0Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,3,0,2022-11-20T23:12:35Z,170000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,
18,PT10M47.00S,2022-11-20T23:12:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630557,29.38567674113009,14.460784313725492,1610612764,6,0,2022-11-20T23:12:47Z,180000,False,178.0,224.0,1,left,C. Kispert 28' 3PT  (3 PTS) (B. Beal 1 AST),"[1630557, 203078]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,28.57,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,
20,PT10M27.00S,2022-11-20T23:13:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.38042049934296,52.94117647058824,1610612766,6,0,2022-11-20T23:13:11Z,200000,False,15.0,10.0,1,right,MISS M. Plumlee Layup,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
