actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-28T00:10:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-28T00:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-12-28T00:10:58.4Z,1,REGULAR,jumpball,recovered,[],1629001,,,1610612755,0,0,2022-12-28T00:10:58Z,40000,False,,,0,,Jump Ball J. Embiid vs. K. Porzingis: Tip to D. Melton,"[1629001, 203954, 204001]",1610612755.0,PHI,startperiod,D. Melton,1629001.0,Melton,D. Melton,Embiid,203954.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-12-28T00:11:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,9.017739816031538,58.08823529411765,1610612755,0,0,2022-12-28T00:11:44Z,70000,False,-40.0,32.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 203078]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,Beal,203078.0,,,,,,,,,,,,,,,,
8,PT11M51.00S,2022-12-28T00:11:02.7Z,1,REGULAR,block,,[],203078,,,1610612755,0,0,2022-12-28T00:11:07Z,80000,False,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-12-28T00:11:07.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-12-28T00:11:21Z,90000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M41.00S,2022-12-28T00:11:16.4Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,0,0,2022-12-28T00:11:23Z,100000,False,,,0,,K. Kuzma step out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,step,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,,,,,,,101284.0,1.0,,,,,,,,,,
11,PT11M22.00S,2022-12-28T00:11:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,6.783837056504599,57.107843137254896,1610612755,0,2,2022-12-28T00:11:46Z,110000,False,-36.0,11.0,1,left,J. Embiid Layup (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.73,Made,,,,,,,,,2.0,,,,,,,,,
12,PT11M08.00S,2022-12-28T00:11:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,92.85479632063075,58.333333333333336,1610612764,0,2,2022-12-28T00:12:01Z,120000,False,42.0,15.0,1,right,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2022-12-28T00:11:55.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,0,2,2022-12-28T00:12:01Z,130000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M08.00S,2022-12-28T00:11:58.7Z,1,REGULAR,foul,personal,[],1629655,,,1610612755,0,2,2022-12-28T00:12:07Z,140000,False,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 200782]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Left,,,,,,,,,203177.0,,,1.0,0.0,Tucker,200782.0,,,,,
