actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-22T23:11:44.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-22T23:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-22T23:11:47.0Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2023-03-22T23:11:47Z,40000,False,,,0,,Jump Ball N. Jokic vs. K. Porzingis: Tip to J. Murray,"[1627750, 203999, 204001]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2023-03-22T23:11:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,4.944152431011826,54.41176470588235,1610612743,0,2,2023-03-22T23:11:54Z,70000,False,-22.0,-6.0,1,left,J. Murray driving Layup (2 PTS),[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.29,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-03-22T23:12:09.5Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612764,0,2,2023-03-22T23:12:14Z,80000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Avdija 2 FT),"[1627750, 1630166]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,201246.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,
10,PT11M36.00S,2023-03-22T23:12:32.3Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,0,2,2023-03-22T23:12:32Z,100000,False,,,0,,MISS D. Avdija Free Throw 1 of 2,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2023-03-22T23:12:32.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,0,2,2023-03-22T23:12:32Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M36.00S,2023-03-22T23:12:45.1Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,1,2,2023-03-22T23:12:45Z,120000,False,,,0,,D. Avdija Free Throw 2 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2023-03-22T23:13:05.9Z,1,REGULAR,3pt,Jump Shot,[],203999,31.09395532194481,19.852941176470587,1610612743,1,2,2023-03-22T23:13:10Z,130000,False,151.0,240.0,1,left,MISS N. Jokic 28' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,28.32,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-03-22T23:13:10.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,1,2,2023-03-22T23:13:10Z,140000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M58.00S,2023-03-22T23:13:25.5Z,1,REGULAR,2pt,Jump Shot,[],204001,78.0059132720105,40.19607843137255,1610612764,3,2,2023-03-22T23:13:33Z,150000,False,-49.0,154.0,1,right,K. Porzingis 16' pullup Jump Shot (2 PTS),[204001],1610612764.0,WAS,pullup,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,16.18,Made,2.0,,,,,,,,,,,,,,,,,
