actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-28T23:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-28T23:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-28T23:10:43.4Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612764,0,0,2023-03-28T23:10:43Z,40000,False,,,0,,Jump Ball K. Porzingis vs. A. Horford: Tip to M. Morris,"[1628420, 204001, 201143]",1610612764.0,WAS,startperiod,M. Morris,1628420.0,Morris,M. Morris,Porzingis,204001.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-28T23:10:57.7Z,1,REGULAR,turnover,lost ball,[],1626153,,,1610612764,0,0,2023-03-28T23:11:01Z,70000,False,,,0,,D. Wright lost ball TURNOVER (1 TO),"[1626153, 1627759]",1610612764.0,WAS,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Left,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-03-28T23:10:57.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2023-03-28T23:10:59Z,80000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-03-28T23:11:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,6.389618922470433,79.41176470588235,1610612738,0,2,2023-03-28T23:11:10Z,90000,False,-147.0,8.0,1,left,J. Brown 14' driving floating bank Jump Shot (2 PTS),[1627759],1610612738.0,BOS,driving floating bank,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,14.73,Made,2.0,,,,,,,,,,,,,,
10,PT11M22.00S,2023-03-28T23:11:20.8Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612764,0,2,2023-03-28T23:11:27Z,100000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Kispert 2 FT),"[201143, 1630557]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1830.0,1.0,0.0,Kispert,1630557.0,,,,,,,,,
12,PT11M22.00S,2023-03-28T23:11:41.9Z,1,REGULAR,freethrow,1 of 2,[],1630557,,,1610612764,1,2,2023-03-28T23:11:41Z,120000,False,,,0,,C. Kispert Free Throw 1 of 2 (1 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
13,PT11M22.00S,2023-03-28T23:11:56.7Z,1,REGULAR,freethrow,2 of 2,[],1630557,,,1610612764,2,2,2023-03-28T23:11:56Z,130000,False,,,0,,C. Kispert Free Throw 2 of 2 (2 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
14,PT11M10.00S,2023-03-28T23:12:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.046649145860711,61.51960784313726,1610612738,2,4,2023-03-28T23:12:17Z,140000,False,-58.0,14.0,1,left,J. Tatum driving Layup (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,5.92,Made,2.0,,,,,,D. White,1628401.0,1.0,,,,,,
16,PT10M56.00S,2023-03-28T23:12:26.0Z,1,REGULAR,2pt,Jump Shot,[],204001,75.77201051248358,55.14705882352941,1610612764,4,4,2023-03-28T23:12:30Z,160000,False,26.0,175.0,1,right,K. Porzingis 17' Jump Shot (2 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,,,,17.71,Made,2.0,,,,,,M. Morris,1628420.0,1.0,,,,,,
18,PT10M44.00S,2023-03-28T23:12:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.783837056504599,57.84313725490197,1610612738,4,6,2023-03-28T23:12:42Z,180000,False,-39.0,11.0,1,left,J. Tatum driving Layup (4 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,4.08,Made,4.0,,,,,,J. Brown,1627759.0,1.0,,,,,,
20,PT10M28.00S,2023-03-28T23:12:54.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],204001,88.51839684625493,47.05882352941176,1610612764,6,6,2023-03-28T23:13:42Z,200000,False,-15.0,55.0,1,right,K. Porzingis driving Hook (4 PTS),[204001],1610612764.0,WAS,driving,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,5.73,Made,4.0,,,,,,,,,,,,,,
21,PT10M12.00S,2023-03-28T23:13:09.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.962549277266753,76.47058823529412,1610612738,6,6,2023-03-28T23:13:14Z,210000,False,-132.0,239.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,27.28,Missed,,,,,,,,,,,,,,,
22,PT10M11.00S,2023-03-28T23:13:10.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,6,6,2023-03-28T23:13:14Z,220000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,
23,PT09M55.00S,2023-03-28T23:13:30.2Z,1,REGULAR,foul,offensive,[],1630166,,,1610612764,6,6,2023-03-28T23:13:40Z,230000,False,,,0,,D. Avdija charge offensive FOUL (1 PF),"[1630166, 203935]",1610612764.0,WAS,charge,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202901.0,1.0,0.0,Smart,203935.0,,,,,,,,,
25,PT09M55.00S,2023-03-28T23:13:30.2Z,1,REGULAR,turnover,offensive foul,[],1630166,,,1610612764,6,6,2023-03-28T23:13:30Z,250000,False,,,0,,D. Avdija offensive foul TURNOVER (1 TO),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,202901.0,,,,,,,,,,,,,
26,PT09M46.00S,2023-03-28T23:14:02.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,22.683968462549277,61.51960784313726,1610612738,6,6,2023-03-28T23:14:09Z,260000,False,-58.0,161.0,1,left,MISS J. Brown 17' pullup Shot - blocked,"[1627759, 1628420]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,17.07,Missed,,,,,,,,,,,,,,Morris,1628420.0
27,PT09M46.00S,2023-03-28T23:14:02.7Z,1,REGULAR,block,,[],1628420,,,1610612738,6,6,2023-03-28T23:14:05Z,270000,False,,,0,,M. Morris BLOCK (1 BLK),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2023-03-28T23:14:04.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,6,6,2023-03-28T23:14:09Z,280000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
29,PT09M42.00S,2023-03-28T23:14:07.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630557,89.43823915900131,96.07843137254902,1610612764,6,6,2023-03-28T23:15:51Z,290000,False,230.0,47.0,1,right,MISS C. Kispert running pullup 3PT,[1630557],1610612764.0,WAS,running pullup,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,,,,23.51,Missed,,,,,,,,,,,,,,,
30,PT09M42.00S,2023-03-28T23:14:07.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2023-03-28T23:14:13Z,300000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,
31,PT09M35.00S,2023-03-28T23:14:14.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628369,6.389618922470433,50.245098039215684,1610612738,6,8,2023-03-28T23:16:17Z,310000,False,-1.0,8.0,1,left,J. Tatum running DUNK (6 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,0.77,Made,6.0,,,,,,M. Smart,203935.0,1.0,,,,,,
33,PT09M26.00S,2023-03-28T23:14:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,84.70762155059133,40.931372549019606,1610612764,8,8,2023-03-28T23:16:46Z,330000,False,-45.0,91.0,1,right,M. Morris 10' driving floating Jump Shot (2 PTS) (D. Avdija 1 AST),"[1628420, 1630166]",1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Center,,,,10.18,Made,2.0,,,,,,D. Avdija,1630166.0,1.0,,,,,,
