actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-04T23:11:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T23:11:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-04T23:11:39.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612751,0,0,2022-11-04T23:11:39Z,40000,,,0,,Jump Ball N. Claxton vs. K. Porzingis: Tip to R. O'Neale,"[1626220, 1629651, 204001]",1610612751.0,BKN,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Claxton,1629651.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-11-04T23:11:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,11.251642575558476,56.372549019607845,1610612751,0,0,2022-11-04T23:11:48Z,70000,-32.0,53.0,1,left,MISS R. O'Neale 6' driving Layup,[1626220],1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-11-04T23:11:47.2Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612751,0,0,2022-11-04T23:11:47Z,80000,,,0,,R. O'Neale REBOUND (Off:1 Def:0),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M47.00S,2022-11-04T23:11:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626220,5.590000152587891,50.0,1610612751,0,2,2022-11-04T23:11:47Z,90000,0.0,0.0,1,left,R. O'Neale tip Layup (2 PTS),[1626220],1610612751.0,BKN,tip,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M29.00S,2022-11-04T23:12:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.75229960578186,55.88235294117647,1610612764,0,2,2022-11-04T23:12:43Z,100000,29.0,34.0,1,right,MISS B. Beal cutting finger roll Layup,[203078],1610612764.0,WAS,cutting finger roll,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,4.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2022-11-04T23:12:07.6Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,0,2,2022-11-04T23:12:07Z,110000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M21.00S,2022-11-04T23:12:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.915243101182654,58.333333333333336,1610612751,0,4,2022-11-04T23:12:18Z,120000,-42.0,13.0,1,left,R. O'Neale driving Layup (4 PTS),[1626220],1610612751.0,BKN,driving,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,4.35,Made,,,,,4.0,,,,,,,,,,,,,
13,PT11M08.00S,2022-11-04T23:12:26.3Z,1,REGULAR,3pt,Jump Shot,[],204001,66.17936925098554,48.28431372549019,1610612764,3,4,2022-11-04T23:12:31Z,130000,-9.0,265.0,1,right,K. Porzingis 26' 3PT  (3 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.55,Made,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,
15,PT10M51.00S,2022-11-04T23:12:43.6Z,1,REGULAR,3pt,Jump Shot,[],203925,28.07161629434954,17.892156862745097,1610612751,3,4,2022-11-04T23:12:48Z,150000,161.0,211.0,1,left,MISS J. Harris 26' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Right Center,26.54,Missed,,,,,,,,,,,,,,,,,,
