actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-10T00:10:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-10T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-10T00:10:37.5Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2023-01-10T00:10:37Z,40000,False,,,0,,Jump Ball K. Porzingis vs. J. Valanciunas: Tip to C. Kispert,"[1630557, 204001, 202685]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Porzingis,204001.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-10T00:10:57.1Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612764,0,0,2023-01-10T00:11:05Z,70000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1630530, 204001]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Left,1193.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-01-10T00:11:28.6Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,1,0,2023-01-10T00:11:28Z,90000,False,,,0,,K. Porzingis Free Throw 1 of 2 (1 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M40.00S,2023-01-10T00:11:42.4Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,2,0,2023-01-10T00:11:42Z,100000,False,,,0,,K. Porzingis Free Throw 2 of 2 (2 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2023-01-10T00:11:57.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,70.12155059132719,81.61764705882352,1610612740,2,0,2023-01-10T00:12:04Z,110000,False,158.0,228.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.78,,,,,,,,,,,,
12,PT11M26.00S,2023-01-10T00:11:59.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,0,2023-01-10T00:12:04Z,120000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M15.00S,2023-01-10T00:12:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630557,24.78646517739816,13.480392156862745,1610612764,5,0,2023-01-10T00:12:15Z,130000,False,183.0,180.0,1,left,C. Kispert 25' 3PT  (3 PTS) (D. Gafford 1 AST),"[1630557, 1629655]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.68,,,,,D. Gafford,1629655.0,1.0,,,,,
15,PT10M59.00S,2023-01-10T00:12:27.8Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,5,0,2023-01-10T00:12:32Z,150000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1630557]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Kispert,1630557.0,,
16,PT10M59.00S,2023-01-10T00:12:27.8Z,1,REGULAR,steal,,[],1630557,,,1610612764,5,0,2023-01-10T00:13:11Z,160000,False,,,0,,C. Kispert STEAL (1 STL),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2023-01-10T00:12:41.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",204001,8.754927726675426,49.01960784313725,1610612764,7,0,2023-01-10T00:12:46Z,170000,False,5.0,30.0,1,left,K. Porzingis driving DUNK (4 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,driving,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,3.02,,,,,M. Morris,1628420.0,1.0,,,,,
19,PT10M44.00S,2023-01-10T00:12:47.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,7,0,2023-01-10T00:12:47Z,190000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2023-01-10T00:15:55.3Z,1,REGULAR,3pt,Jump Shot,[],1630530,94.30026281208936,4.166666666666666,1610612740,7,0,2023-01-10T00:15:59Z,200000,False,-229.0,1.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.92,,,,,,,,,,,,
21,PT10M24.00S,2023-01-10T00:15:58.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,7,0,2023-01-10T00:15:59Z,210000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
22,PT10M03.00S,2023-01-10T00:16:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630557,8.409986859395532,1.9837622549019607,1610612764,10,0,2023-01-10T00:16:26Z,220000,False,240.0,27.0,1,left,C. Kispert 24' 3PT  (6 PTS) (M. Morris 2 AST),"[1630557, 1628420]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,,,,,,Made,6.0,24.16,,,,,M. Morris,1628420.0,2.0,,,,,
