actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT10M42.00S,2023-03-04T22:12:16.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,0,2023-03-04T22:12:19Z,170000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M41.00S,2023-03-04T22:12:20.1Z,1,REGULAR,foul,personal,[],1627783,,,1610612764,5,0,2023-03-04T22:12:30Z,180000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1628398]",1610612761.0,TOR,1179.0,Siakam,P. Siakam,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,0.0,Kuzma,1628398.0,,,,,
20,PT10M29.00S,2023-03-04T22:12:44.2Z,1,REGULAR,2pt,Jump Shot,[],204001,88.64980289093299,21.568627450980394,1610612764,7,0,2023-03-04T22:12:53Z,200000,False,-142.0,54.0,1,right,K. Porzingis 15' turnaround fadeaway bank Jump Shot (7 PTS) (B. Beal 1 AST),"[204001, 203078]",1610612764.0,WAS,,Porzingis,K. Porzingis,turnaround fadeaway bank,,,,,,,Mid-Range,8-16 Left,15.22,Made,7.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,
23,PT10M07.00S,2023-03-04T22:13:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,12.565703022339028,62.99019607843137,1610612761,7,0,2023-03-04T22:13:12Z,230000,False,-65.0,66.0,1,left,MISS S. Barnes 9' Jump Shot - blocked,"[1630567, 1626153]",1610612761.0,TOR,,Barnes,S. Barnes,,,,,,,,In The Paint (Non-RA),8-16 Left,9.23,Missed,,,,,,,,,,,,,Wright,1626153.0,,,
24,PT10M07.00S,2023-03-04T22:13:06.5Z,1,REGULAR,block,,[],1626153,,,1610612761,7,0,2023-03-04T22:13:11Z,240000,False,,,0,,D. Wright BLOCK (1 BLK),[1626153],1610612764.0,WAS,,Wright,D. Wright,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2023-03-04T22:13:11.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,7,0,2023-03-04T22:18:02Z,250000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,Kuzma,K. Kuzma,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,
26,PT09M59.00S,2023-03-04T22:13:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,90.62089356110381,56.127450980392155,1610612764,7,0,2023-03-04T22:13:23Z,260000,False,31.0,36.0,1,right,MISS K. Porzingis driving Layup - blocked,"[204001, 1627832]",1610612764.0,WAS,,Porzingis,K. Porzingis,driving,,,,,,,In The Paint (Non-RA),0-8 Center,4.7,Missed,,,,,,,,,,,,,VanVleet,1627832.0,,,
27,PT09M59.00S,2023-03-04T22:13:14.9Z,1,REGULAR,block,,[],1627832,,,1610612764,7,0,2023-03-04T22:13:17Z,270000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,VanVleet,F. VanVleet,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2023-03-04T22:13:17.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,7,0,2023-03-04T22:13:23Z,280000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,VanVleet,F. VanVleet,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
29,PT09M53.00S,2023-03-04T22:13:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,8.623521681997373,42.8921568627451,1610612761,7,0,2023-03-04T22:13:28Z,290000,False,36.0,29.0,1,left,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,,VanVleet,F. VanVleet,driving,,,,,,,In The Paint (Non-RA),0-8 Center,4.56,Missed,,,,,,,,,,,,,,,,,
