actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-04T23:10:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T23:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2022-12-04T23:10:35.4Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612764,0,0,2022-12-04T23:10:35Z,40000,False,,,0,,Jump Ball K. Porzingis vs. A. Davis: Tip to M. Morris,"[1628420, 204001, 203076]",1610612764.0,WAS,startperiod,M. Morris,1628420.0,Morris,M. Morris,Porzingis,204001.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-12-04T23:10:50.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,19.136005256241788,95.34313725490196,1610612764,0,0,2022-12-04T23:10:55Z,70000,False,-227.0,127.0,1,left,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2022-12-04T23:10:53.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2022-12-04T23:10:55Z,80000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-12-04T23:11:15.4Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612747,0,0,2022-12-04T23:11:35Z,90000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Walker IV 2 FT),"[1628398, 1629022]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,200832.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,
13,PT11M37.00S,2022-12-04T23:11:52.5Z,1,REGULAR,freethrow,1 of 2,[],1629022,,,1610612747,0,1,2022-12-04T23:12:30Z,130000,False,,,0,,L. Walker IV Free Throw 1 of 2 (1 PTS),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M37.00S,2022-12-04T23:11:52.5Z,1,REGULAR,freethrow,2 of 2,[],1629022,,,1610612747,0,2,2022-12-04T23:12:30Z,140000,False,,,0,,L. Walker IV Free Throw 2 of 2 (2 PTS),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M21.00S,2022-12-04T23:12:50.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,5.469776609724048,97.05882352941177,1610612764,0,2,2022-12-04T23:12:56Z,150000,False,-235.0,-1.0,1,left,MISS K. Kuzma 3PT - blocked,"[1628398, 201976]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,Beverley,201976.0,,,,,,
16,PT11M21.00S,2022-12-04T23:12:50.3Z,1,REGULAR,block,,[],201976,,,1610612764,0,2,2022-12-04T23:12:53Z,160000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
17,PT11M21.00S,2022-12-04T23:12:50.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,2,2022-12-04T23:12:56Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,15.0,,,,,,,,,,,,,,,,,
20,PT11M18.00S,2022-12-04T23:13:27.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203078,20.18725361366623,76.22549019607843,1610612764,2,2,2022-12-04T23:13:31Z,200000,False,-131.0,137.0,1,left,B. Beal 18' pullup Jump Shot (2 PTS) (K. Porzingis 1 AST),"[203078, 204001]",1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Mid-Range,16-24 Left Center,18.98,Made,,,,,,,,,,2.0,,,K. Porzingis,204001.0,1.0,,,
22,PT10M59.00S,2022-12-04T23:13:46.7Z,1,REGULAR,2pt,Jump Shot,[],203076,87.86136662286465,72.05882352941177,1610612747,2,4,2022-12-04T23:13:51Z,220000,False,110.0,62.0,1,right,A. Davis 12' bank Jump Shot (2 PTS) (D. Schroder 1 AST),"[203076, 203471]",1610612747.0,LAL,bank,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,12.63,Made,,,,,,,,,,2.0,,,D. Schroder,203471.0,1.0,,,
24,PT10M47.00S,2022-12-04T23:14:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.521024967148489,50.98039215686274,1610612764,4,4,2022-12-04T23:14:05Z,240000,False,-5.0,9.0,1,left,D. Avdija driving finger roll Layup (2 PTS) (M. Morris 1 AST),"[1630166, 1628420]",1610612764.0,WAS,driving finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,,2.0,,,M. Morris,1628420.0,1.0,,,
26,PT10M37.00S,2022-12-04T23:14:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629022,94.1688567674113,98.2843137254902,1610612747,4,7,2022-12-04T23:14:18Z,260000,False,241.0,2.0,1,right,L. Walker IV 24' 3PT  (5 PTS) (D. Schroder 2 AST),"[1629022, 203471]",1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Right Corner 3,24+ Right,24.14,Made,,,,,,,,,,5.0,,,D. Schroder,203471.0,2.0,,,
28,PT10M25.00S,2022-12-04T23:14:25.3Z,1,REGULAR,3pt,Jump Shot,[],1628420,25.18068331143233,91.42156862745098,1610612764,4,7,2022-12-04T23:14:30Z,280000,False,-207.0,184.0,1,left,MISS M. Morris 27' 3PT,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Left Center,27.72,Missed,,,,,,,,,,,,,,,,,,
29,PT10M22.00S,2022-12-04T23:14:28.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,7,2022-12-04T23:14:30Z,290000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT10M18.00S,2022-12-04T23:14:32.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,77.87450722733246,10.049019607843137,1610612747,4,10,2022-12-04T23:14:41Z,300000,False,-200.0,155.0,1,right,L. James 25' 3PT  (3 PTS) (D. Schroder 3 AST),"[2544, 203471]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,25.32,Made,,,,,,,,,,3.0,,,D. Schroder,203471.0,3.0,,,
32,PT10M10.00S,2022-12-04T23:14:43.3Z,1,REGULAR,foul,offensive,[],1628398,,,1610612764,4,10,2022-12-04T23:14:51Z,320000,False,,,0,,K. Kuzma charge offensive FOUL (2 PF),"[1628398, 203471]",1610612764.0,WAS,charge,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,202053.0,2.0,0.0,Schroder,203471.0,,,,,,,,,
34,PT10M10.00S,2022-12-04T23:14:43.3Z,1,REGULAR,turnover,offensive foul,[],1628398,,,1610612764,4,10,2022-12-04T23:14:43Z,340000,False,,,0,,K. Kuzma offensive foul TURNOVER (1 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,202053.0,,,,,,,,,,,1.0,,
35,PT09M56.00S,2022-12-04T23:15:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629022,93.38042049934296,61.76470588235294,1610612747,4,10,2022-12-04T23:15:25Z,350000,False,59.0,10.0,1,right,MISS L. Walker IV driving Layup,[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,5.96,Missed,,,,,,,,,,,,,,,,,,
37,PT09M54.00S,2022-12-04T23:15:23.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,4,10,2022-12-04T23:15:25Z,370000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M50.00S,2022-12-04T23:15:27.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",1628398,7.30946123521682,57.35294117647059,1610612764,6,10,2022-12-04T23:15:33Z,380000,False,-37.0,16.0,1,left,K. Kuzma driving Hook (2 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,4.02,Made,,,,,,,,,,2.0,,,,,,,,
39,PT09M46.00S,2022-12-04T23:15:31.7Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,6,10,2022-12-04T23:15:46Z,390000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1628420]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Morris,1628420.0
40,PT09M46.00S,2022-12-04T23:15:31.7Z,1,REGULAR,steal,,[],1628420,,,1610612764,6,10,2022-12-04T23:15:34Z,400000,False,,,0,,M. Morris STEAL (1 STL),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M41.00S,2022-12-04T23:15:36.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628420,21.107095926412615,9.803921568627452,1610612764,9,10,2022-12-04T23:15:41Z,410000,False,201.0,146.0,1,left,M. Morris 24' 3PT  (3 PTS),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Right Center,24.84,Made,,,,,,,,,,3.0,,,,,,,,
42,PT09M19.00S,2022-12-04T23:15:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.85479632063075,59.80392156862745,1610612747,9,10,2022-12-04T23:16:06Z,420000,False,49.0,15.0,1,right,MISS A. Davis driving Layup,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,5.12,Missed,,,,,,,,,,,,,,,,,,
43,PT09M15.00S,2022-12-04T23:16:03.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,9,10,2022-12-04T23:16:06Z,430000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
44,PT09M13.00S,2022-12-04T23:16:07.3Z,1,REGULAR,turnover,bad pass,[],1628420,,,1610612764,9,10,2022-12-04T23:29:55Z,440000,False,,,0,,M. Morris bad pass TURNOVER (1 TO),"[1628420, 1629022]",1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Walker IV,1629022.0
45,PT09M13.00S,2022-12-04T23:16:07.3Z,1,REGULAR,steal,,[],1629022,,,1610612747,9,10,2022-12-04T23:16:19Z,450000,False,,,0,,L. Walker IV STEAL (1 STL),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
46,PT09M01.00S,2022-12-04T23:16:19.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,85.89027595269383,36.029411764705884,1610612747,9,10,2022-12-04T23:16:25Z,460000,False,-70.0,80.0,1,right,MISS A. Davis 10' turnaround Hook,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,10.63,Missed,,,,,,,,,,,,,,,,,,
47,PT08M59.00S,2022-12-04T23:16:21.5Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,9,10,2022-12-04T23:16:25Z,470000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Left,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT08M42.00S,2022-12-04T23:16:54.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,11.300919842312746,5.170036764705882,1610612764,9,10,2022-12-04T23:17:03Z,490000,False,224.0,54.0,1,left,MISS D. Avdija 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
50,PT08M41.00S,2022-12-04T23:16:55.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,9,10,2022-12-04T23:16:58Z,500000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,24+ Right,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT08M32.00S,2022-12-04T23:17:05.5Z,1,REGULAR,3pt,Jump Shot,[],201976,68.28186596583443,74.75490196078431,1610612747,9,10,2022-12-04T23:17:09Z,510000,False,124.0,246.0,1,right,MISS P. Beverley 27' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,27.51,Missed,,,,,,,,,,,,,,,,,,
52,PT08M31.00S,2022-12-04T23:17:07.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,9,10,2022-12-04T23:17:07Z,520000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,51.0,,,,,,,,,,,,,,,,,
54,PT08M31.00S,2022-12-04T23:17:11.2Z,1,REGULAR,substitution,out,[],203078,,,1610612764,9,10,2022-12-04T23:17:16Z,540000,False,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M31.00S,2022-12-04T23:17:11.2Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,9,10,2022-12-04T23:17:16Z,550000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M19.00S,2022-12-04T23:17:36.1Z,1,REGULAR,3pt,Jump Shot,[],204001,31.488173455978973,73.77450980392157,1610612764,9,10,2022-12-04T23:17:40Z,560000,False,-119.0,243.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,27.1,Missed,,,,,,,,,,,,,,,,,,
57,PT08M17.00S,2022-12-04T23:17:38.1Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,9,10,2022-12-04T23:17:40Z,570000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT08M12.00S,2022-12-04T23:17:44.2Z,1,REGULAR,3pt,Jump Shot,[],2544,67.09921156373193,54.65686274509803,1610612747,9,10,2022-12-04T23:17:49Z,580000,False,23.0,257.0,1,right,MISS L. James 25' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Above the Break 3,24+ Center,25.79,Missed,,,,,,,,,,,,,,,,,,
