actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-31T23:10:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-31T23:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-31T23:10:27.2Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-03-31T23:10:27Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. D. Gafford: Tip to M. Fultz,"[1628365, 1628976, 1629655]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-03-31T23:10:46.8Z,1,REGULAR,2pt,Jump Shot,[],1628365,86.64586070959264,77.20588235294117,1610612753,0,2,2023-03-31T23:10:53Z,70000,False,136.0,73.0,1,right,M. Fultz 15' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[1628365, 1628976]",1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Right,15.44,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2023-03-31T23:11:03.6Z,1,REGULAR,3pt,Jump Shot,[],1630557,30.929697766097235,86.02941176470588,1610612764,3,2,2023-03-31T23:11:10Z,90000,False,-180.0,238.0,1,left,C. Kispert 29' 3PT  (3 PTS) (D. Avdija 1 AST),"[1630557, 1630166]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,29.86,Made,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
11,PT10M58.00S,2023-03-31T23:11:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203914,87.30289093298292,65.68627450980392,1610612753,3,2,2023-03-31T23:11:28Z,110000,False,78.0,67.0,1,right,MISS G. Harris 10' driving bank Shot,[203914],1610612753.0,ORL,driving bank,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Right,10.31,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2023-03-31T23:11:28.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,2,2023-03-31T23:11:28Z,120000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
44,PT10M49.00S,2023-03-31T23:11:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,6.8823915900131425,49.754901960784316,1610612764,3,2,2023-03-31T23:14:42Z,125000,False,1.0,12.0,1,left,MISS D. Gafford Layup - blocked,"[1629655, 203914]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.23,Missed,,,,,,,,,Harris,203914.0,,,,,,,,
45,PT10M49.00S,2023-03-31T23:11:29.4Z,1,REGULAR,block,,[],203914,,,1610612764,3,2,2023-03-31T23:14:42Z,127500,False,,,0,,G. Harris BLOCK (1 BLK),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT10M49.00S,2023-03-31T23:11:29.4Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,3,2,2023-03-31T23:14:42Z,128750,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,
13,PT10M48.00S,2023-03-31T23:11:34.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629655,6.8823915900131425,48.529411764705884,1610612764,5,2,2023-03-31T23:19:47Z,130000,False,7.0,12.0,1,left,D. Gafford putback DUNK (2 PTS),[1629655],1610612764.0,WAS,putback,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,,,,,,,,,,,,,,,,,
