shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,jerseyNumber,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-11T00:12:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-11T00:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,7,PT12M00.00S,2022-12-11T00:12:27.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-12-11T00:13:18Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612746.0,LAC,203177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-11T00:12:28.6Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-12-11T00:12:28Z,40000,False,,,0,,Jump Ball K. Porzingis vs. I. Zubac: Tip to K. Kuzma,"[1628398, 204001, 1627826]",1610612764.0,WAS,,33,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
11:44,8,PT11M44.00S,2022-12-11T00:12:40.9Z,1,REGULAR,3pt,Jump Shot,[],204001,33.722076215505915,69.6078431372549,1610612764,3,0,2022-12-11T00:12:46Z,70000,False,-98.0,264.0,1,left,K. Porzingis 28' 3PT  (3 PTS) (J. Goodwin 1 AST),"[204001, 1630692]",1610612764.0,WAS,,6,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,28.21,Made,3.0,J. Goodwin,1630692.0,1.0,,,,,,,,,,,,,
11:19,10,PT11M19.00S,2022-12-11T00:13:05.5Z,1,REGULAR,3pt,Jump Shot,[],202331,68.80749014454665,25.735294117647058,1610612746,3,0,2022-12-11T00:13:21Z,90000,False,-121.0,241.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,13,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,26.95,Missed,,,,,,,,,,,,,,,,,
11:15,11,PT11M15.00S,2022-12-11T00:13:09.6Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,3,0,2022-12-11T00:13:09Z,100000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,24,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
11:02,12,PT11M02.00S,2022-12-11T00:13:22.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,31.61957950065703,74.50980392156863,1610612764,6,0,2022-12-11T00:14:12Z,110000,False,-123.0,245.0,1,left,K. Kuzma 27' 3PT pullup (3 PTS) (C. Kispert 1 AST),"[1628398, 1630557]",1610612764.0,WAS,,33,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.37,Made,3.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,,,
10:34,14,PT10M34.00S,2022-12-11T00:13:50.8Z,1,REGULAR,3pt,Jump Shot,[],202694,83.26215505913272,5.392156862745098,1610612746,6,0,2022-12-11T00:13:54Z,130000,False,-223.0,105.0,1,right,MISS M. Morris Sr. 24' 3PT,[202694],1610612746.0,LAC,,8,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,24.64,Missed,,,,,,,,,,,,,,,,,
10:31,15,PT10M31.00S,2022-12-11T00:13:53.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,6,0,2022-12-11T00:13:54Z,140000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,9,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
10:29,16,PT10M29.00S,2022-12-11T00:13:56.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630692,8.229303547963205,51.71568627450981,1610612764,8,0,2022-12-11T00:14:47Z,150000,False,-9.0,25.0,1,left,J. Goodwin running Layup (2 PTS) (D. Avdija 1 AST),"[1630692, 1630166]",1610612764.0,WAS,,7,running,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,
