actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-12T00:12:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-12T00:12:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-12T00:12:31.4Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612764,0,0,2023-02-12T00:12:31Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Turner: Tip to M. Morris,"[1628420, 204001, 1626167]",1610612764.0,WAS,startperiod,M. Morris,1628420.0,Morris,M. Morris,Porzingis,204001.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-02-12T00:12:50.1Z,1,REGULAR,2pt,Jump Shot,[],204001,84.31340341655716,74.50980392156863,1610612764,2,0,2023-02-12T00:12:54Z,70000,False,123.0,95.0,1,right,K. Porzingis 15' step back Jump Shot (2 PTS),[204001],1610612764.0,WAS,step back,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,15.5,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2023-02-12T00:13:15.4Z,1,REGULAR,2pt,Jump Shot,[],1629614,5.075558475689881,89.2156862745098,1610612754,2,0,2023-02-12T00:13:24Z,80000,False,-196.0,-5.0,1,left,MISS A. Nembhard 19' pullup Shot,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left,19.62,Missed,,,,,,,,,,,,,,,,,,
9,PT11M09.00S,2023-02-12T00:13:17.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,2,0,2023-02-12T00:13:24Z,90000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2023-02-12T00:13:25.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,64.47109067017082,50.49019607843137,1610612764,2,0,2023-02-12T00:14:30Z,100000,False,2.0,281.0,1,right,MISS K. Porzingis 28' running pullup 3PT,[204001],1610612764.0,WAS,running pullup,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,28.15,Missed,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2023-02-12T00:13:27.0Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,2,0,2023-02-12T00:13:29Z,110000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M50.00S,2023-02-12T00:13:37.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,14.799605781865965,51.470588235294116,1610612754,2,2,2023-02-12T00:13:46Z,120000,False,-7.0,87.0,1,left,A. Nembhard 8' driving floating Jump Shot (2 PTS) (B. Hield 1 AST),"[1629614, 1627741]",1610612754.0,IND,driving floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,8.69,Made,2.0,,,,,B. Hield,1627741.0,1.0,,,,,,,,,,
13,PT10M32.00S,2023-02-12T00:13:54.9Z,1,REGULAR,2pt,Jump Shot,[],203078,85.23324572930355,32.1078431372549,1610612764,2,2,2023-02-12T00:13:59Z,130000,False,-89.0,86.0,1,right,MISS B. Beal 12' driving floating Shot,[203078],1610612764.0,WAS,driving floating,,,Beal,B. Beal,,,,,Mid-Range,8-16 Left,12.43,Missed,,,,,,,,,,,,,,,,,,
14,PT10M30.00S,2023-02-12T00:13:57.1Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,2,2,2023-02-12T00:13:57Z,140000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:2),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,
