actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-03T00:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-03T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-03T00:10:42.5Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612764,0,0,2023-03-03T00:10:42Z,40000,False,,,0,,Jump Ball K. Porzingis vs. J. Poeltl: Tip to B. Beal,"[203078, 204001, 1627751]",1610612764.0,WAS,startperiod,B. Beal,203078.0,Beal,B. Beal,Porzingis,204001.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-03-03T00:10:57.4Z,1,REGULAR,3pt,Jump Shot,[],1626153,93.24901445466492,98.0392156862745,1610612764,0,0,2023-03-03T00:11:01Z,70000,False,240.0,11.0,1,right,MISS D. Wright 24' 3PT,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Right Corner 3,24+ Right,24.05,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-03-03T00:10:59.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2023-03-03T00:11:01Z,80000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-03-03T00:11:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.521024967148489,44.85294117647059,1610612761,0,0,2023-03-03T01:08:39Z,90000,False,26.0,9.0,1,left,MISS O. Anunoby driving Layup - blocked,"[1628384, 204001]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
10,PT11M31.00S,2023-03-03T00:11:07.7Z,1,REGULAR,block,,[],204001,,,1610612761,0,0,2023-03-03T00:11:12Z,100000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-03-03T00:11:13.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2023-03-03T00:11:51Z,110000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M23.00S,2023-03-03T00:11:14.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,66.04796320630749,47.30392156862745,1610612764,3,0,2023-03-03T00:12:25Z,120000,False,-13.0,267.0,1,right,K. Kuzma 26' 3PT running pullup (3 PTS) (D. Wright 1 AST),"[1628398, 1626153]",1610612764.0,WAS,running pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,26.69,Made,,,,,,,3.0,D. Wright,1626153.0,1.0,,,,,,,,
14,PT11M03.00S,2023-03-03T00:11:34.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,30.17411300919842,15.441176470588236,1610612761,3,0,2023-03-03T00:11:41Z,140000,False,173.0,231.0,1,left,MISS F. VanVleet 28' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,28.86,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2023-03-03T00:11:37.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,3,0,2023-03-03T00:11:41Z,150000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
