actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-07T23:13:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-07T23:13:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-07T23:13:11.7Z,1,REGULAR,jumpball,recovered,[],1630264,,,1610612764,0,0,2023-04-07T23:13:11Z,40000,False,,,0,,Jump Ball D. Gafford vs. C. Zeller: Tip to A. Gill,"[1630264, 1629655, 203469]",1610612764.0,WAS,startperiod,A. Gill,1630264.0,Gill,A. Gill,Gafford,1629655.0,Zeller,203469.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-04-07T23:13:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,92.72339027595268,50.245098039215684,1610612764,2,0,2023-04-07T23:14:12Z,70000,False,1.0,16.0,1,right,D. Gafford driving reverse Layup (2 PTS),[1629655],1610612764.0,WAS,driving reverse,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2023-04-07T23:13:47.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,26.888961892247043,12.990196078431374,1610612748,2,0,2023-04-07T23:13:56Z,80000,False,185.0,200.0,1,left,MISS D. Robinson 27' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-04-07T23:13:52.9Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,2,0,2023-04-07T23:13:56Z,90000,False,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-04-07T23:13:57.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629216,28.991458607095925,61.029411764705884,1610612748,2,2,2023-04-07T23:14:58Z,100000,False,-55.0,220.0,1,left,G. Vincent 22' step back Jump Shot (2 PTS) (H. Highsmith 1 AST),"[1629216, 1629312]",1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Center,22.68,Made,2.0,,,,,H. Highsmith,1629312.0,1.0,,,,,,,,,,
11,PT10M57.00S,2023-04-07T23:14:13.6Z,1,REGULAR,turnover,out-of-bounds,[],1629655,,,1610612764,2,2,2023-04-07T23:14:23Z,110000,False,,,0,,D. Gafford bad pass out-of-bounds TURNOVER (1 TO),[1629655],1610612764.0,WAS,bad pass,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1179.0,1.0,,,,,,,,
14,PT10M47.00S,2023-04-07T23:14:31.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629312,23.99802890932983,12.009803921568627,1610612748,2,2,2023-04-07T23:14:36Z,130000,False,190.0,173.0,1,left,MISS H. Highsmith 25' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2023-04-07T23:14:35.0Z,1,REGULAR,rebound,defensive,[],1631098,,,1610612764,2,2,2023-04-07T23:14:36Z,140000,False,,,0,,J. Davis REBOUND (Off:0 Def:1),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,Above the Break 3,24+ Right Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M35.00S,2023-04-07T23:14:42.1Z,1,REGULAR,3pt,Jump Shot,[],1626153,67.49342969776609,34.31372549019608,1610612764,2,2,2023-04-07T23:14:47Z,150000,False,-78.0,253.0,1,right,MISS D. Wright 26' 3PT,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Center,26.5,Missed,,,,,,,,,,,,,,,,,,
