actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-25T23:11:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-25T23:11:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-25T23:11:06.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2022-10-25T23:11:06Z,40000,,,0,,Jump Ball I. Stewart vs. K. Porzingis: Tip to Team (DET),"[1630191, 204001]",1610612765.0,DET,startperiod,Team (DET),Stewart,1630191.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-10-25T23:11:33.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,6.915243101182654,5.147058823529411,1610612765,0,0,2022-10-25T23:11:39Z,70000,224.0,13.0,1,left,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,22.46,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-10-25T23:11:36.5Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2022-10-25T23:11:39Z,80000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,,Stewart,I. Stewart,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-10-25T23:11:40.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630191,30.042706964520367,75.98039215686273,1610612765,0,0,2022-10-25T23:11:44Z,90000,-130.0,230.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,26.41,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-10-25T23:11:43.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2022-10-25T23:11:43Z,100000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-10-25T23:12:03.9Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612764,0,0,2022-10-25T23:12:12Z,120000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1630191, 1628398]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,Stewart,I. Stewart,,,,,204059.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,
14,PT11M14.00S,2022-10-25T23:12:36.0Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,1,0,2022-10-25T23:12:36Z,140000,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,,,,,,,Made,Kuzma,K. Kuzma,,,,,,,,,,1.0,,,,,,,,
15,PT11M14.00S,2022-10-25T23:12:57.0Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,2,0,2022-10-25T23:12:57Z,150000,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,,,,,,,Made,Kuzma,K. Kuzma,,,,,,,,,,2.0,,,,,,,,
16,PT11M03.00S,2022-10-25T23:13:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,29.25427069645204,80.63725490196079,1610612765,2,0,2022-10-25T23:13:15Z,160000,-153.0,222.0,1,left,MISS S. Bey 27' pullup 3PT,[1630180],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Left Center,27.01,Missed,Bey,S. Bey,,,,,,,,,,,,,,,,,,
