actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-09T23:10:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-09T23:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-09T23:10:35.0Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-11-09T23:10:35Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Jackson Jr.: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1628991]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-09T23:10:49.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,93.77463863337714,50.245098039215684,1610612760,0,2,2025-11-09T23:10:53Z,70000,False,1.0,6.0,1,right,I. Hartenstein DUNK (2 PTS) (C. Holmgren 1 AST),"[1628392, 1631096]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-11-09T23:11:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,10.200394218134035,37.254901960784316,1610612763,2,2,2025-11-09T23:11:12Z,90000,False,64.0,43.0,1,left,J. Jackson Jr. 7' driving floating bank Jump Shot (2 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.71,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2025-11-09T23:11:25.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,92.9862023653088,51.9607843137255,1610612760,2,4,2025-11-09T23:11:28Z,110000,False,10.0,13.0,1,right,I. Hartenstein cutting DUNK (4 PTS) (C. Holmgren 2 AST),"[1628392, 1631096]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.66,Made,4.0,C. Holmgren,1631096.0,2.0,,,,,,,,,,,,,,
13,PT10M49.00S,2025-11-09T23:11:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628991,31.882391590013142,34.31372549019608,1610612763,5,4,2025-11-09T23:11:45Z,130000,False,78.0,247.0,1,left,J. Jackson Jr. 25' 3PT  (5 PTS) (J. Landale 1 AST),"[1628991, 1629111]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,25.93,Made,5.0,J. Landale,1629111.0,1.0,,,,,,,,,,,,,,
15,PT10M23.00S,2025-11-09T23:12:08.4Z,1,REGULAR,2pt,Jump Shot,[],1628983,92.32917214191852,69.11764705882352,1610612760,5,4,2025-11-09T23:12:15Z,150000,False,96.0,20.0,1,right,MISS S. Gilgeous-Alexander 9' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,9.76,Missed,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2025-11-09T23:12:10.4Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,5,4,2025-11-09T23:12:15Z,160000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M21.00S,2025-11-09T23:12:12.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,92.85479632063075,51.9607843137255,1610612760,5,6,2025-11-09T23:12:33Z,170000,False,10.0,15.0,1,right,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.77,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2025-11-09T23:12:16.3Z,1,REGULAR,foul,personal,['1freethrow'],1629111,,,1610612760,5,6,2025-11-09T23:12:23Z,180000,False,,,0,,J. Landale shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1629111, 1628983]",1610612763.0,MEM,shooting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
