actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-04T01:10:02.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-04T01:10:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-04T01:10:05.7Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2025-11-04T01:10:05Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Jackson Jr.: Tip to A. Thompson,"[1641709, 1631105, 1628991]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-04T01:10:18.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,91.40932982917214,95.09803921568627,1610612765,0,0,2025-11-04T01:10:22Z,70000,False,225.0,28.0,1,right,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,22.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-11-04T01:10:21.5Z,1,REGULAR,rebound,defensive,[],203484,,,1610612763,0,0,2025-11-04T01:10:22Z,80000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-11-04T01:10:37.4Z,1,REGULAR,foul,offensive,[],1629111,,,1610612763,0,0,2025-11-04T01:10:45Z,90000,False,,,0,,J. Landale offensive FOUL (1 PF),"[1629111, 1641709]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,,,,,,,1628168.0,1.0,0.0,Thompson,1641709.0,,,,,,,,,
11,PT11M27.00S,2025-11-04T01:10:37.4Z,1,REGULAR,turnover,offensive foul,[],1629111,,,1610612763,0,0,2025-11-04T01:10:37Z,110000,False,,,0,,J. Landale offensive foul TURNOVER (1 TO),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,,,,,,,1628168.0,,,,,1.0,,,,,,,,
12,PT11M11.00S,2025-11-04T01:11:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631105,92.46057818659659,54.65686274509803,1610612765,0,2,2025-11-04T01:11:15Z,120000,False,23.0,18.0,1,right,J. Duren driving Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,
14,PT11M03.00S,2025-11-04T01:11:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,16.770696452036795,46.81372549019608,1610612763,0,2,2025-11-04T01:11:23Z,140000,False,16.0,105.0,1,left,MISS J. Morant 10' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,10.63,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2025-11-04T01:11:22.9Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,0,2,2025-11-04T01:11:22Z,150000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M57.00S,2025-11-04T01:11:24.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642377,9.017739816031538,61.029411764705884,1610612763,0,2,2025-11-04T01:20:50Z,160000,False,-55.0,32.0,1,left,MISS J. Wells 6' floating Shot,[1642377],1610612763.0,MEM,floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,6.39,Missed,,,,,,,,,,,,,,,,,,
