actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-29T01:10:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-29T01:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-29T01:11:00.3Z,1,REGULAR,jumpball,recovered,[],1642285,,,1610612763,0,0,2026-01-29T01:11:00Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. M. Diabaté: Tip to C. Spencer,"[1642285, 1628991, 1631217]",1610612763.0,MEM,startperiod,C. Spencer,1642285.0,Spencer,C. Spencer,Jackson Jr.,1628991.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-29T01:11:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,90.22667542706965,41.66666666666667,1610612763,0,0,2026-01-29T01:11:18Z,70000,False,-42.0,39.0,1,right,MISS C. Coward driving floating bank Shot,[1642907],1610612763.0,MEM,driving floating bank,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-29T01:11:17.3Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,0,0,2026-01-29T01:11:17Z,80000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2026-01-29T01:11:18.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,69.20170827858082,70.09803921568627,1610612763,3,0,2026-01-29T01:11:23Z,90000,False,100.0,237.0,1,right,J. Jackson Jr. 25' 3PT  (3 PTS) (C. Spencer 1 AST),"[1628991, 1642285]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.74,Made,,,,,3.0,C. Spencer,1642285.0,1.0,,,,,,,,,,
11,PT11M13.00S,2026-01-29T01:11:45.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631217,12.565703022339028,50.73529411764706,1610612766,3,2,2026-01-29T01:11:49Z,110000,False,-4.0,66.0,1,left,M. Diabaté 6' turnaround Hook (2 PTS),[1631217],1610612766.0,CHA,turnaround,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,6.57,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M51.00S,2026-01-29T01:12:07.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,92.85479632063075,44.11764705882353,1610612763,5,2,2026-01-29T01:12:12Z,120000,False,-29.0,15.0,1,right,J. Jackson Jr. turnaround bank Hook (5 PTS) (C. Coward 1 AST),"[1628991, 1642907]",1610612763.0,MEM,turnaround bank,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.29,Made,,,,,5.0,C. Coward,1642907.0,1.0,,,,,,,,,,
13,PT10M32.00S,2026-01-29T01:12:25.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,29.6484888304862,84.31372549019608,1610612766,5,2,2026-01-29T01:12:29Z,130000,False,-172.0,226.0,1,left,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,28.39,Missed,,,,,,,,,,,,,,,,,,
14,PT10M29.00S,2026-01-29T01:12:28.2Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,5,2,2026-01-29T01:12:29Z,140000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M12.00S,2026-01-29T01:12:45.8Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,5,2,2026-01-29T01:12:51Z,150000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1631217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Diabaté,1631217.0,,,,,,,
16,PT10M12.00S,2026-01-29T01:12:45.8Z,1,REGULAR,steal,,[],1631217,,,1610612766,5,2,2026-01-29T01:28:25Z,160000,False,,,0,,M. Diabaté STEAL (1 STL),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M09.00S,2026-01-29T01:12:49.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641706,5.075558475689881,51.225490196078425,1610612766,5,4,2026-01-29T01:12:55Z,170000,False,-6.0,-5.0,1,left,B. Miller running alley-oop DUNK (2 PTS) (K. Knueppel 1 AST),"[1641706, 1642851]",1610612766.0,CHA,running alley-oop,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,2.0,K. Knueppel,1642851.0,1.0,,,,,,,,,,
