actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-21T00:10:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-21T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-21T00:10:36.9Z,1,REGULAR,jumpball,recovered,[],1642942,,,1610612763,0,0,2026-02-21T00:10:37Z,40000,False,,,0,,Jump Ball L. Lovering vs. K. Filipowski: Tip to J. Mashack,"[1642942, 1643133, 1642271]",1610612763.0,MEM,startperiod,J. Mashack,1642942.0,Mashack,J. Mashack,Lovering,1643133.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-21T00:10:48.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,85.62746386333771,51.470588235294116,1610612763,0,0,2026-02-21T00:10:53Z,70000,False,7.0,83.0,1,right,MISS J. Wells 8' driving floating Shot,[1642377],1610612763.0,MEM,driving floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,8.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-21T00:10:52.3Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,0,0,2026-02-21T00:10:53Z,80000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-02-21T00:10:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,7.835085413929041,53.67647058823529,1610612762,0,0,2026-02-21T00:11:04Z,90000,False,-18.0,21.0,1,left,MISS K. Filipowski driving Layup - blocked,"[1642271, 1641713]",1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,Jackson,1641713.0,,,,,,,,,,,,
10,PT11M35.00S,2026-02-21T00:10:58.1Z,1,REGULAR,block,,[],1641713,,,1610612762,0,0,2026-02-21T00:11:01Z,100000,False,,,0,,G. Jackson BLOCK (1 BLK),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2026-02-21T00:11:03.1Z,1,REGULAR,rebound,defensive,[],1642942,,,1610612763,0,0,2026-02-21T00:11:04Z,110000,False,,,0,,J. Mashack REBOUND (Off:0 Def:1),[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M27.00S,2026-02-21T00:11:05.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641713,92.19776609724047,53.431372549019606,1610612763,0,0,2026-02-21T00:11:11Z,120000,False,17.0,21.0,1,right,MISS G. Jackson running reverse Layup,[1641713],1610612763.0,MEM,running reverse,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2026-02-21T00:11:05.1Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612763,0,0,2026-02-21T00:18:51Z,130000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:0),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M27.00S,2026-02-21T00:11:09.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1641707,94.40999984741211,50.0,1610612763,0,0,2026-02-21T00:18:55Z,140000,False,0.0,0.0,1,right,MISS T. Hendricks tip Layup,[1641707],1610612763.0,MEM,tip,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M27.00S,2026-02-21T00:11:09.9Z,1,REGULAR,rebound,offensive,[],1643133,,,1610612763,0,0,2026-02-21T00:11:13Z,150000,False,,,0,,L. Lovering REBOUND (Off:1 Def:0),[1643133],1610612763.0,MEM,,,,Lovering,L. Lovering,,,,,Restricted Area,0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M27.00S,2026-02-21T00:11:12.5Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612763,0,0,2026-02-21T00:11:27Z,160000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Lovering 2 FT),"[1642268, 1643133]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,,,203591.0,1.0,0.0,Lovering,1643133.0,,,,,,,
18,PT11M27.00S,2026-02-21T00:11:33.2Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fastbreak']",1643133,,,1610612763,1,0,2026-02-21T00:11:33Z,180000,False,,,0,,L. Lovering Free Throw 1 of 2 (1 PTS),[1643133],1610612763.0,MEM,,,,Lovering,L. Lovering,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
19,PT11M27.00S,2026-02-21T00:11:33.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', '2ndchance']",1643133,,,1610612763,1,0,2026-02-21T00:11:49Z,190000,False,,,0,,MISS L. Lovering Free Throw 2 of 2,[1643133],1610612763.0,MEM,,,,Lovering,L. Lovering,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT11M26.00S,2026-02-21T00:11:34.2Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612762,1,0,2026-02-21T00:11:49Z,200000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612762.0,UTA,,,,Konchar,J. Konchar,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT11M26.00S,2026-02-21T00:12:06.8Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,1,0,2026-02-21T00:12:16Z,220000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT11M26.00S,2026-02-21T00:12:06.8Z,1,REGULAR,substitution,in,[],1631131,,,1610612762,1,0,2026-02-21T00:12:16Z,230000,False,,,0,,SUB in: O. Tshiebwe,[1631131],1610612762.0,UTA,,,,Tshiebwe,O. Tshiebwe,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT11M13.00S,2026-02-21T00:12:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,18.084756898817346,36.51960784313725,1610612762,1,2,2026-02-21T00:12:50Z,240000,False,67.0,117.0,1,left,I. Collier 13' fadeaway Jump Shot (2 PTS) (C. Williams 1 AST),"[1642268, 1642262]",1610612762.0,UTA,fadeaway,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,13.55,Made,,,,,,,,,,,,2.0,C. Williams,1642262.0,1.0,,,
26,PT11M03.00S,2026-02-21T00:12:55.0Z,1,REGULAR,3pt,Jump Shot,[],1642377,74.06373193166885,88.97058823529412,1610612763,1,2,2026-02-21T00:12:58Z,260000,False,195.0,191.0,1,right,MISS J. Wells 27' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,27.31,Missed,,,,,,,,,,,,,,,,,,
27,PT10M59.00S,2026-02-21T00:12:59.0Z,1,REGULAR,rebound,defensive,[],1631131,,,1610612762,1,2,2026-02-21T00:12:58Z,270000,False,,,0,,O. Tshiebwe REBOUND (Off:0 Def:1),[1631131],1610612762.0,UTA,,,,Tshiebwe,O. Tshiebwe,,,,,Above the Break 3,24+ Right Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M53.00S,2026-02-21T00:13:04.3Z,1,REGULAR,3pt,Jump Shot,[],1642262,6.258212877792378,95.09803921568627,1610612762,1,2,2026-02-21T00:13:10Z,280000,False,-225.0,6.0,1,left,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,22.56,Missed,,,,,,,,,,,,,,,,,,
29,PT10M52.00S,2026-02-21T00:13:05.3Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,1,2,2026-02-21T00:27:29Z,290000,False,,,0,,A. Bailey REBOUND (Off:1 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Left Corner 3,24+ Left,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
30,PT10M51.00S,2026-02-21T00:13:10.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629723,5.590000152587891,50.0,1610612762,1,2,2026-02-21T00:27:51Z,300000,False,0.0,0.0,1,left,MISS J. Konchar Layup,[1629723],1610612762.0,UTA,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
31,PT10M50.00S,2026-02-21T00:13:11.0Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,1,2,2026-02-21T00:27:51Z,310000,False,,,0,,A. Bailey REBOUND (Off:2 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,30.0,3.0,1.0,2.0,,,,,,,,,,,,,,
112,PT10M50.00S,2026-02-21T00:13:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642846,7.276609724047319,50.245098039215684,1610612762,1,2,2026-02-21T00:28:01Z,315000,False,-1.0,16.0,1,left,MISS A. Bailey tip Layup,[1642846],1610612762.0,UTA,tip,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
113,PT10M48.00S,2026-02-21T00:13:18.8Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,1,2,2026-02-21T00:28:01Z,317500,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT10M34.00S,2026-02-21T00:13:23.6Z,1,REGULAR,3pt,Jump Shot,[],1642377,67.62483574244416,31.127450980392158,1610612763,1,2,2026-02-21T00:13:30Z,320000,False,-94.0,252.0,1,right,MISS J. Wells 26' pullup 3PT,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,26.89,Missed,,,,,,,,,,,,,,,,,,
33,PT10M28.00S,2026-02-21T00:13:29.6Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,1,2,2026-02-21T00:13:30Z,330000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
