actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-11T20:40:52.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T20:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-11T20:40:54.3Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612751,0,0,2026-01-11T20:40:54Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Jackson Jr.: Tip to T. Mann,"[1629611, 1629651, 1628991]",1610612751.0,BKN,startperiod,T. Mann,1629611.0,Mann,T. Mann,Claxton,1629651.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-01-11T20:41:05.9Z,1,REGULAR,3pt,Jump Shot,[],1641730,69.33311432325887,27.205882352941174,1610612751,0,0,2026-01-11T20:41:10Z,70000,False,-114.0,236.0,1,right,MISS N. Clowney 26' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-01-11T20:41:05.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,0,0,2026-01-11T20:41:10Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2026-01-11T20:41:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,13.748357424441524,47.30392156862745,1610612763,2,0,2026-01-11T20:41:34Z,100000,False,13.0,77.0,1,left,C. Coward 7' driving floating Jump Shot (2 PTS),[1642907],1610612763.0,MEM,driving floating,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,,2.0,,,,,,,,,,,,,,,,
11,PT11M04.00S,2026-01-11T20:41:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642874,93.51182654402102,52.450980392156865,1610612751,2,2,2026-01-11T20:41:58Z,110000,False,12.0,8.0,1,right,D. Wolf driving finger roll Layup (2 PTS) (N. Claxton 1 AST),"[1642874, 1629651]",1610612751.0,BKN,driving finger roll,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,1.5,Made,,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,
13,PT10M42.00S,2026-01-11T20:42:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,12.565703022339028,44.6078431372549,1610612763,2,2,2026-01-11T20:42:17Z,130000,False,27.0,66.0,1,left,MISS C. Coward 7' driving floating Shot,[1642907],1610612763.0,MEM,driving floating,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,7.09,Missed,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2026-01-11T20:42:17.1Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,2,2,2026-01-11T20:42:17Z,140000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,1.0,0.0,1.0,,,,,,,,,,
15,PT10M39.00S,2026-01-11T20:42:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629111,5.590000152587891,50.0,1610612763,4,2,2026-01-11T20:42:17Z,150000,False,0.0,0.0,1,left,J. Landale tip Layup (2 PTS),[1629111],1610612763.0,MEM,tip,,,Landale,J. Landale,,,,,Mid-Range,8-16 Left,0.0,Made,,2.0,,,,,,,,,,,,,,,,
16,PT10M25.00S,2026-01-11T20:42:30.9Z,1,REGULAR,3pt,Jump Shot,[],1641730,77.21747700394218,11.029411764705882,1610612751,4,5,2026-01-11T20:42:34Z,160000,False,-195.0,162.0,1,right,N. Clowney 25' 3PT  (3 PTS) (N. Claxton 2 AST),"[1641730, 1629651]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,25.32,Made,,3.0,N. Claxton,1629651.0,2.0,,,,,,,,,,,,,
18,PT10M10.00S,2026-01-11T20:42:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.732588699080158,52.94117647058824,1610612763,4,5,2026-01-11T20:42:50Z,180000,False,-15.0,1.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.48,Missed,,,,,,,,,,,,,,,,,,
19,PT10M08.00S,2026-01-11T20:42:48.5Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,4,5,2026-01-11T20:42:48Z,190000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,18.0,,,,,1.0,0.0,1.0,,,,,,,,,,
20,PT10M06.00S,2026-01-11T20:42:49.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,6.652431011826544,52.69607843137255,1610612763,4,5,2026-01-11T20:42:52Z,200000,False,-13.0,10.0,1,left,MISS J. Jackson Jr. putback Layup,[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2026-01-11T20:42:49.5Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,4,5,2026-01-11T20:42:52Z,210000,False,,,0,,J. Jackson Jr. REBOUND (Off:2 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,20.0,,,,,2.0,0.0,2.0,,,,,,,,,,
22,PT10M04.00S,2026-01-11T20:42:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,5.590000152587891,50.0,1610612763,4,5,2026-01-11T20:42:52Z,220000,False,0.0,0.0,1,left,MISS J. Jackson Jr. tip Layup,[1628991],1610612763.0,MEM,tip,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2026-01-11T20:42:52.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,5,2026-01-11T20:42:52Z,230000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,22.0,,,,,1.0,1.0,0.0,,,,,,,,,,
