actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-21T00:10:35.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-21T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-21T00:10:38.7Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2026-03-21T00:10:38Z,40000,False,,,0,,Jump Ball N. Queta vs. O. Prosper: Tip to J. Tatum,"[1628369, 1629674, 1641765]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Queta,1629674.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-03-21T00:10:57.7Z,1,REGULAR,foul,personal,['2freethrow'],1642377,,,1610612738,0,0,2026-03-21T00:11:11Z,70000,False,,,0,,J. Wells shooting personal FOUL (1 PF) (Brown 2 FT),"[1642377, 1627759]",1610612763.0,MEM,shooting,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,1627534.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-21T00:11:26.9Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,0,1,2026-03-21T00:11:26Z,90000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2026-03-21T00:11:42.1Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,0,2,2026-03-21T00:11:42Z,100000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M26.00S,2026-03-21T00:11:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,17.296320630749015,47.30392156862745,1610612763,2,2,2026-03-21T00:11:58Z,110000,False,13.0,110.0,1,left,T. Jerome 11' driving floating Jump Shot (2 PTS) (T. Hendricks 1 AST),"[1629660, 1641707]",1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,11.09,T. Hendricks,1641707.0,1.0,,,,,,,,,
12,PT11M04.00S,2026-03-21T00:12:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,88.64980289093299,49.754901960784316,1610612738,2,2,2026-03-21T00:17:58Z,120000,False,-1.0,54.0,1,right,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.42,,,,,,,,,,,,
13,PT11M03.00S,2026-03-21T00:12:17.4Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,2,2026-03-21T00:13:55Z,130000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,
14,PT11M03.00S,2026-03-21T00:12:22.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,89.83245729303549,48.77450980392157,1610612738,2,2,2026-03-21T00:13:39Z,140000,False,-6.0,43.0,1,right,MISS J. Brown putback Layup - blocked,"[1627759, 1641707]",1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,Missed,,4.35,,,,,,,,Hendricks,1641707.0,,,
15,PT11M03.00S,2026-03-21T00:12:22.3Z,1,REGULAR,block,,[],1641707,,,1610612738,2,2,2026-03-21T00:12:25Z,150000,False,,,0,,T. Hendricks BLOCK (1 BLK),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2026-03-21T00:12:23.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,2,2026-03-21T00:13:39Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,14.0,,,,,,,,
