actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-13T00:10:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-13T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-13T00:10:44.5Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2026-03-13T00:10:44Z,40000,False,,,0,,Jump Ball D. Gafford vs. O. Prosper: Tip to P. Washington,"[1629023, 1629655, 1641765]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Gafford,1629655.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-13T00:10:53.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.77463863337714,49.50980392156863,1610612742,0,2,2026-03-13T00:11:00Z,70000,False,-2.0,6.0,1,right,D. Gafford DUNK (2 PTS) (N. Marshall 1 AST),"[1629655, 1630230]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,N. Marshall,1630230.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2026-03-13T00:11:08.1Z,1,REGULAR,turnover,out-of-bounds,[],1642914,,,1610612763,0,2,2026-03-13T00:11:11Z,90000,False,,,0,,J. Small bad pass out-of-bounds TURNOVER (1 TO),[1642914],1610612763.0,MEM,bad pass,,,Small,J. Small,,,,,Mid-Range,8-16 Left,,,,,,,1162.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2026-03-13T00:11:34.8Z,1,REGULAR,foul,personal,[],1642914,,,1610612742,0,2,2026-03-13T00:11:40Z,100000,False,,,0,,J. Small personal FOUL (1 PF),"[1642914, 1631108]",1610612763.0,MEM,,,,Small,J. Small,,,,,Above the Break 3,24+ Center,,,,,,,1162.0,,1.0,0.0,Christie,1631108.0,,,,,,,,
12,PT11M10.00S,2026-03-13T00:12:00.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629655,93.11760840998686,44.36274509803921,1610612742,0,2,2026-03-13T00:12:07Z,120000,False,-28.0,12.0,1,right,MISS D. Gafford driving floating Shot,[1629655],1610612742.0,DAL,driving floating,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2026-03-13T00:12:02.7Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612763,0,2,2026-03-13T00:12:07Z,130000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,
14,PT11M02.00S,2026-03-13T00:12:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641765,5.995400788436268,42.64705882352941,1610612763,0,2,2026-03-13T00:12:16Z,140000,False,37.0,4.0,1,left,MISS O. Prosper running finger roll Layup,[1641765],1610612763.0,MEM,running finger roll,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2026-03-13T00:12:11.6Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,2,2026-03-13T00:12:16Z,150000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M55.00S,2026-03-13T00:12:15.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,93.38042049934296,96.32352941176471,1610612742,0,2,2026-03-13T00:12:20Z,160000,False,232.0,10.0,1,right,MISS P. Washington running 3PT,[1629023],1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
