actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-06T01:10:34.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T01:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-06T01:10:36.0Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612763,0,0,2025-11-06T01:10:36Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. A. Sengun: Tip to K. Caldwell-Pope,"[203484, 1628991, 1630578]",1610612763.0,MEM,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Jackson Jr.,1628991.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-06T01:10:51.5Z,1,REGULAR,3pt,Jump Shot,[],1629630,72.88107752956637,17.401960784313726,1610612763,0,0,2025-11-06T01:10:57Z,70000,False,-163.0,202.0,1,right,MISS J. Morant 25' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-06T01:10:55.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2025-11-06T01:10:57Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2025-11-06T01:11:13.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642377,80.1084099868594,62.5,1610612763,2,0,2025-11-06T01:11:18Z,100000,False,62.0,134.0,1,right,J. Wells 14' pullup Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1642377, 203484]",1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,14.83,Made,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,
12,PT11M14.00S,2025-11-06T01:11:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,17.95335085413929,51.71568627450981,1610612745,2,0,2025-11-06T01:11:40Z,120000,False,-9.0,116.0,1,left,MISS K. Durant 11' fadeaway Shot,[201142],1610612745.0,HOU,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,11.66,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-11-06T01:11:37.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,0,2025-11-06T01:11:40Z,130000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT11M00.00S,2025-11-06T01:11:49.9Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,2,0,2025-11-06T01:11:53Z,140000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1629006]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Okogie,1629006.0,,,,,,,
15,PT11M00.00S,2025-11-06T01:11:49.9Z,1,REGULAR,steal,,[],1629006,,,1610612745,2,0,2025-11-06T01:11:51Z,150000,False,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2025-11-06T01:11:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629006,6.652431011826544,52.94117647058824,1610612745,2,2,2025-11-06T01:14:16Z,160000,False,-15.0,10.0,1,left,J. Okogie driving Layup (2 PTS),[1629006],1610612745.0,HOU,driving,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,1.78,Made,,2.0,,,,,,,,,,,,,,,,
17,PT10M47.00S,2025-11-06T01:12:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,90.3580814717477,56.372549019607845,1610612763,2,2,2025-11-06T01:12:42Z,170000,False,32.0,38.0,1,right,MISS J. Morant driving finger roll Layup,[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2025-11-06T01:12:05.7Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,2,2,2025-11-06T01:12:06Z,180000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,1.0,1.0,0.0,,,,,,,,,,
19,PT10M35.00S,2025-11-06T01:12:14.4Z,1,REGULAR,2pt,Jump Shot,[],1630578,22.026938239159,40.931372549019606,1610612745,2,4,2025-11-06T01:12:18Z,190000,False,45.0,155.0,1,left,A. Sengun 16' pullup Jump Shot (2 PTS),[1630578],1610612745.0,HOU,pullup,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,16.11,Made,,2.0,,,,,,,,,,,,,,,,
20,PT10M25.00S,2025-11-06T01:12:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629111,68.41327201051249,64.2156862745098,1610612763,2,4,2025-11-06T01:12:28Z,200000,False,71.0,244.0,1,right,MISS J. Landale 25' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,25.45,Missed,,,,,,,,,,,,,,,,,,
