actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-10T01:10:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-10T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-10T01:10:49.9Z,1,REGULAR,jumpball,recovered,[],1630598,,,1610612760,0,0,2026-01-10T01:10:49Z,40000,False,,,0,,Jump Ball B. Carlson vs. J. Jackson Jr.: Tip to A. Wiggins,"[1630598, 1642382, 1628991]",1610612760.0,OKC,startperiod,A. Wiggins,1630598.0,Wiggins,A. Wiggins,Carlson,1642382.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2026-01-10T01:11:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,88.25558475689881,63.725490196078425,1610612760,0,2,2026-01-10T01:11:16Z,70000,False,69.0,58.0,1,right,A. Mitchell 8' driving floating Jump Shot (2 PTS),[1642349],1610612760.0,OKC,driving floating,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),8-16 Right,8.98,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2026-01-10T01:11:35.2Z,1,REGULAR,3pt,Jump Shot,[],1628991,6.521024967148489,3.9215686274509802,1610612763,3,2,2026-01-10T01:11:38Z,80000,False,230.0,9.0,1,left,J. Jackson Jr. 3PT  (3 PTS) (C. Spencer 1 AST),"[1628991, 1642285]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.06,Made,3.0,C. Spencer,1642285.0,1.0,,,,,,,,,,,,,,
10,PT10M58.00S,2026-01-10T01:11:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642382,91.93495400788436,46.32352941176471,1610612760,3,2,2026-01-10T01:11:53Z,100000,False,-18.0,23.0,1,right,MISS B. Carlson alley-oop Layup,[1642382],1610612760.0,OKC,alley-oop,,,Carlson,B. Carlson,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2026-01-10T01:11:47.9Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,3,2,2026-01-10T01:12:21Z,110000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M43.00S,2026-01-10T01:12:03.2Z,1,REGULAR,2pt,Jump Shot,[],1642377,17.0335085413929,19.11764705882353,1610612763,3,2,2026-01-10T01:12:06Z,120000,False,154.0,108.0,1,left,MISS J. Wells 18' pullup Shot,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right,18.82,Missed,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2026-01-10T01:12:07.2Z,1,REGULAR,rebound,defensive,[],1642349,,,1610612760,3,2,2026-01-10T01:12:06Z,130000,False,,,0,,A. Mitchell REBOUND (Off:0 Def:1),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Mid-Range,16-24 Right,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M33.00S,2026-01-10T01:12:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,93.38042049934296,95.83333333333334,1610612760,3,5,2026-01-10T01:12:16Z,140000,False,229.0,10.0,1,right,L. Dort 3PT  (3 PTS) (A. Wiggins 1 AST),"[1629652, 1630598]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,22.94,Made,3.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,,,,,
16,PT10M23.00S,2026-01-10T01:12:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642907,7.440867279894875,41.66666666666667,1610612763,3,5,2026-01-10T01:12:26Z,160000,False,42.0,17.0,1,left,MISS C. Coward driving Layup - blocked,"[1642907, 1642382]",1610612763.0,MEM,driving,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,,,,Carlson,1642382.0,,,,,,,,
