actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-25T01:10:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-25T01:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-25T01:10:36.5Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2025-11-25T01:10:36Z,40000,False,,,0,,Jump Ball N. Jokić vs. Z. Edey: Tip to J. Murray,"[1627750, 203999, 1641744]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-25T01:10:48.4Z,1,REGULAR,3pt,Jump Shot,[],1631212,87.59855453350855,94.85294117647058,1610612743,0,0,2025-11-25T01:10:52Z,70000,False,224.0,64.0,1,right,MISS P. Watson 3PT,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Right Corner 3,24+ Right,23.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-25T01:10:52.4Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612743,0,0,2025-11-25T01:10:52Z,80000,False,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-11-25T01:11:01.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631212,91.14651773981603,3.431372549019608,1610612743,0,0,2025-11-25T01:11:06Z,90000,False,-233.0,31.0,1,right,MISS P. Watson 3PT,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-11-25T01:11:06.5Z,1,REGULAR,rebound,offensive,[],1642461,,,1610612743,0,0,2025-11-25T01:11:06Z,100000,False,,,0,,S. Jones REBOUND (Off:1 Def:0),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Left Corner 3,24+ Left,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2025-11-25T01:11:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627750,93.24901445466492,51.470588235294116,1610612743,0,0,2025-11-25T01:11:15Z,110000,False,7.0,11.0,1,right,MISS J. Murray driving finger roll Layup,[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.33,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-11-25T01:11:12.3Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2025-11-25T01:11:15Z,120000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M13.00S,2025-11-25T01:11:20.2Z,1,REGULAR,turnover,bad pass,[],1642907,,,1610612763,0,0,2025-11-25T01:11:25Z,130000,False,,,0,,C. Coward bad pass TURNOVER (1 TO),"[1642907, 203999]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Jokić,203999.0,,,,,,,,,,,
14,PT11M13.00S,2025-11-25T01:11:20.2Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2025-11-25T01:19:08Z,140000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
