actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-07T00:10:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-07T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-07T00:10:53.2Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612739,0,0,2026-04-07T00:10:53Z,40000,False,,,0,,Jump Ball J. Allen vs. O. Prosper: Tip to D. Schröder,"[203471, 1628386, 1641765]",1610612739.0,CLE,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Allen,1628386.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-04-07T00:11:06.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,5.469776609724048,49.26470588235294,1610612739,0,2,2026-04-07T00:11:09Z,70000,False,4.0,-1.0,1,left,E. Mobley driving DUNK (2 PTS),[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.39,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2026-04-07T00:11:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641713,93.24901445466492,51.71568627450981,1610612763,0,2,2026-04-07T00:11:36Z,80000,False,9.0,11.0,1,right,MISS G. Jackson driving reverse Layup,[1641713],1610612763.0,MEM,driving reverse,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-04-07T00:11:36.6Z,1,REGULAR,rebound,defensive,[],203471,,,1610612739,0,2,2026-04-07T00:11:36Z,90000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612739.0,CLE,,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2026-04-07T00:11:47.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,11.514454664914586,36.029411764705884,1610612739,0,2,2026-04-07T00:11:52Z,100000,False,70.0,56.0,1,left,MISS J. Allen 8' driving Hook,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Right,8.94,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2026-04-07T00:11:50.0Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,0,2,2026-04-07T00:11:52Z,110000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),8-16 Right,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M54.00S,2026-04-07T00:11:55.4Z,1,REGULAR,3pt,Jump Shot,[],1641713,69.72733245729303,28.676470588235293,1610612763,0,2,2026-04-07T00:11:59Z,120000,False,-107.0,232.0,1,right,MISS G. Jackson 25' step back 3PT,[1641713],1610612763.0,MEM,step back,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2026-04-07T00:11:58.4Z,1,REGULAR,rebound,offensive,[],1642907,,,1610612763,0,2,2026-04-07T00:11:59Z,130000,False,,,0,,C. Coward REBOUND (Off:1 Def:0),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M49.00S,2026-04-07T00:12:00.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642907,92.59198423127464,51.470588235294116,1610612763,2,2,2026-04-07T00:12:02Z,140000,False,7.0,17.0,1,right,C. Coward putback Layup (2 PTS),[1642907],1610612763.0,MEM,putback,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,,,,,,,,,,,,,,
