actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-21T01:11:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T01:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-21T01:11:33.9Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2025-12-21T01:11:33Z,40000,False,,,0,,Jump Ball A. Sarr vs. J. Jackson Jr.: Tip to K. George,"[1642273, 1642259, 1628991]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-21T01:11:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642267,81.68528252299606,37.745098039215684,1610612764,0,2,2025-12-21T01:14:19Z,70000,False,-61.0,120.0,1,right,B. Carrington 13' step back Jump Shot (2 PTS),[1642267],1610612764.0,WAS,step back,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,13.45,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-12-21T01:12:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.732588699080158,51.9607843137255,1610612763,0,2,2025-12-21T01:14:42Z,80000,False,-10.0,1.0,1,left,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1642259]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,0.99,Missed,,Sarr,1642259.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2025-12-21T01:12:09.2Z,1,REGULAR,block,,[],1642259,,,1610612763,0,2,2025-12-21T01:12:11Z,90000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-12-21T01:12:12.2Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,2,2025-12-21T01:14:42Z,100000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M18.00S,2025-12-21T01:12:14.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,74.19513797634691,15.686274509803921,1610612764,0,2,2025-12-21T01:16:33Z,110000,False,-172.0,190.0,1,right,MISS C. McCollum 25' running 3PT,[203468],1610612764.0,WAS,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2025-12-21T01:12:16.6Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,0,2,2025-12-21T01:16:30Z,120000,False,,,0,,A. Sarr REBOUND (Off:1 Def:0),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M13.00S,2025-12-21T01:12:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642259,92.59198423127464,52.20588235294118,1610612764,0,2,2025-12-21T01:16:40Z,130000,False,11.0,17.0,1,right,MISS A. Sarr putback Layup,[1642259],1610612764.0,WAS,putback,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2025-12-21T01:12:20.6Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,0,2,2025-12-21T01:16:40Z,140000,False,,,0,,A. Sarr REBOUND (Off:2 Def:0),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,13.0,2.0,0.0,2.0,,,,,,,,,,,
