actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-26T00:41:14.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-26T00:41:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-26T00:41:16.5Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2026-02-26T00:41:16Z,40000,False,,,0,,Jump Ball A. Horford vs. O. Prosper: Tip to B. Podziemski,"[1641764, 201143, 1641765]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Horford,201143.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-02-26T00:41:32.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,12.302890932982917,48.03921568627451,1610612744,0,2,2026-02-26T01:09:23Z,70000,False,10.0,63.0,1,left,A. Horford 6' turnaround Hook (2 PTS) (G. Santos 1 AST),"[201143, 1630611]",1610612744.0,GSW,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,6.39,Made,2.0,G. Santos,1630611.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2026-02-26T00:41:50.2Z,1,REGULAR,violation,kicked ball,[],201143,,,1610612763,0,2,2026-02-26T00:41:55Z,90000,False,,,0,,A. Horford kicked ball VIOLATION,[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,,,,,,,,,1146.0,,,,,,,,,,,,,
10,PT11M21.00S,2026-02-26T00:42:07.3Z,1,REGULAR,3pt,Jump Shot,[],1642377,81.42247043363994,4.411764705882353,1610612763,0,2,2026-02-26T00:42:12Z,100000,False,-228.0,122.0,1,right,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-02-26T00:42:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,2,2026-02-26T00:42:12Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,10.0,,,,,,,,,,,,
13,PT10M57.00S,2026-02-26T00:42:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630611,6.1268068331143235,45.588235294117645,1610612744,0,4,2026-02-26T00:42:47Z,130000,False,22.0,5.0,1,left,G. Santos cutting Layup (2 PTS) (A. Horford 1 AST),"[1630611, 201143]",1610612744.0,GSW,cutting,,,Santos,G. Santos,,,,,Restricted Area,0-8 Center,2.27,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
15,PT10M43.00S,2026-02-26T00:42:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,93.38042049934296,53.431372549019606,1610612763,0,4,2026-02-26T00:43:00Z,150000,False,17.0,10.0,1,right,MISS J. Wells driving reverse Layup,[1642377],1610612763.0,MEM,driving reverse,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2026-02-26T00:42:57.6Z,1,REGULAR,rebound,offensive,[],1641765,,,1610612763,0,4,2026-02-26T00:42:57Z,160000,False,,,0,,O. Prosper REBOUND (Off:1 Def:0),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT10M39.00S,2026-02-26T00:43:00.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629660,66.44218134034165,37.5,1610612763,3,4,2026-02-26T00:43:04Z,170000,False,-62.0,263.0,1,right,T. Jerome 27' 3PT  (3 PTS) (J. Small 1 AST),"[1629660, 1642914]",1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Center,27.02,Made,3.0,J. Small,1642914.0,1.0,,,,,,,,,,,,,,
