actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-25T00:10:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-25T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-10-25T00:10:44.2Z,1,REGULAR,jumpball,recovered,[],1642377,,,1610612763,0,0,2025-10-25T00:10:44Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. K. Ware: Tip to J. Wells,"[1642377, 1628991, 1642276]",1610612763.0,MEM,startperiod,J. Wells,1642377.0,Wells,J. Wells,Jackson Jr.,1628991.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-10-25T00:10:56.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1629630,7.835085413929041,36.029411764705884,1610612763,2,0,2025-10-25T00:11:09Z,70000,False,70.0,21.0,1,left,J. Morant 7' driving floating Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1629630, 203484]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,7.3,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
9,PT11M45.00S,2025-10-25T00:11:00.0Z,1,REGULAR,violation,defensive goaltending,[],1642276,,,1610612763,2,0,2025-10-25T00:11:09Z,90000,False,,,0,,K. Ware defensive goaltending VIOLATION,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,1628159.0,,,,,,,,,,,,,
10,PT11M26.00S,2025-10-25T00:11:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,89.04402102496715,38.23529411764706,1610612748,2,0,2025-10-25T00:11:30Z,100000,False,-59.0,50.0,1,right,MISS N. Powell 7' driving Layup,[1626181],1610612748.0,MIA,driving,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2025-10-25T00:11:26.3Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2025-10-25T00:14:48Z,110000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M20.00S,2025-10-25T00:11:30.3Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612763,2,0,2025-10-25T00:11:41Z,120000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Morant 2 FT),"[1642276, 1629630]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,,,,,1.0,0.0,Morant,1629630.0,,,,,
14,PT11M20.00S,2025-10-25T00:11:56.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,3,0,2025-10-25T00:11:56Z,140000,False,,,0,,J. Morant Free Throw 1 of 2 (3 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2025-10-25T00:12:07.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,4,0,2025-10-25T00:12:07Z,150000,False,,,0,,J. Morant Free Throw 2 of 2 (4 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2025-10-25T00:12:21.3Z,1,REGULAR,3pt,Jump Shot,[],1628389,86.67871222076215,96.07843137254902,1610612748,4,3,2025-10-25T00:12:25Z,160000,False,230.0,73.0,1,right,B. Adebayo 24' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,24.16,Made,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
