actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-08T01:10:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-08T01:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-08T01:10:45.3Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612746,0,0,2026-03-08T01:10:45Z,40000,False,,,0,,Jump Ball B. Lopez vs. O. Prosper: Tip to D. Jones Jr.,"[1627884, 201572, 1641765]",1610612746.0,LAC,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Lopez,201572.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-03-08T01:11:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,14.931011826544022,35.049019607843135,1610612746,0,0,2026-03-08T01:11:13Z,70000,False,75.0,88.0,1,left,MISS D. Garland 11' driving floating bank Shot,[1629636],1610612746.0,LAC,driving floating bank,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Right,11.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2026-03-08T01:11:12.2Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612746,0,0,2026-03-08T01:11:13Z,80000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-03-08T01:11:11.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627884,5.590000152587891,50.0,1610612746,0,2,2026-03-08T01:11:11Z,90000,False,0.0,0.0,1,left,D. Jones Jr. tip DUNK (2 PTS),[1627884],1610612746.0,LAC,tip,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M15.00S,2026-03-08T01:11:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,87.59855453350855,61.76470588235294,1610612763,0,2,2026-03-08T01:11:34Z,100000,False,59.0,64.0,1,right,MISS T. Jerome 8' driving floating Shot,[1629660],1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Right,8.7,Missed,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2026-03-08T01:11:29.0Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,2,2026-03-08T01:11:34Z,110000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2026-03-08T01:11:35.5Z,1,REGULAR,3pt,Jump Shot,[],201572,29.77989487516426,69.6078431372549,1610612746,0,2,2026-03-08T01:11:39Z,120000,False,-98.0,227.0,1,left,MISS B. Lopez 24' 3PT,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,24.76,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2026-03-08T01:11:38.5Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612763,0,2,2026-03-08T01:11:39Z,130000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M45.00S,2026-03-08T01:12:00.8Z,1,REGULAR,turnover,backcourt,[],1630590,,,1610612763,0,2,2026-03-08T01:12:08Z,140000,False,,,0,,S. Pippen Jr. backcourt TURNOVER (1 TO),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628481.0,1.0,,,,,,,,,,,
