actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-27T01:10:56.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-27T01:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-27T01:11:00.8Z,1,REGULAR,jumpball,recovered,[],1630583,,,1610612763,0,0,2025-12-27T01:11:00Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. M. Turner: Tip to S. Aldama,"[1630583, 1628991, 1626167]",1610612763.0,MEM,startperiod,S. Aldama,1630583.0,Aldama,S. Aldama,Jackson Jr.,1628991.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-12-27T01:11:41.6Z,1,REGULAR,3pt,Jump Shot,[],1642907,20.45006570302234,7.352941176470589,1610612763,0,0,2025-12-27T01:11:46Z,80000,False,213.0,140.0,1,left,MISS C. Coward 25' 3PT,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-12-27T01:11:45.6Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,0,2025-12-27T01:11:46Z,90000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M29.00S,2025-12-27T01:11:58.7Z,1,REGULAR,3pt,Jump Shot,[],1631260,84.57621550591328,95.09803921568627,1610612749,0,0,2025-12-27T01:12:03Z,100000,False,225.0,92.0,1,right,MISS A. Green 24' pullup 3PT,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Right,24.37,Missed,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2025-12-27T01:12:00.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2025-12-27T01:12:03Z,110000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2025-12-27T01:12:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,7.046649145860711,63.48039215686274,1610612763,0,0,2025-12-27T01:12:32Z,120000,False,-67.0,14.0,1,left,MISS J. Morant 6' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,6.88,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-12-27T01:12:15.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2025-12-27T01:12:22Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-12-27T01:12:34.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630583,14.4053876478318,39.46078431372549,1610612763,0,0,2025-12-27T01:12:38Z,150000,False,53.0,83.0,1,left,MISS S. Aldama 9' driving Hook,[1630583],1610612763.0,MEM,driving,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Right,9.82,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2025-12-27T01:12:36.4Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,0,2025-12-27T01:12:38Z,160000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M56.00S,2025-12-27T01:12:46.6Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612749,0,0,2025-12-27T01:12:51Z,170000,False,,,0,,K. Porter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629645],1610612749.0,MIL,lost ball,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,1.0,,,,,,,,,,,,
18,PT10M49.00S,2025-12-27T01:12:57.1Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,0,0,2025-12-27T01:13:00Z,180000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1626171]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Portis,1626171.0,,,,,,,,,,
