actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-23T00:12:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-23T00:12:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-23T00:12:49.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2025-10-23T00:12:49Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. Y. Missi: Tip to J. Morant,"[1629630, 1628991, 1642274]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Jackson Jr.,1628991.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-10-23T00:12:58.4Z,1,REGULAR,turnover,bad pass,[],1628991,,,1610612763,0,0,2025-10-23T00:13:01Z,70000,False,,,0,,J. Jackson Jr. bad pass TURNOVER (1 TO),"[1628991, 1642274]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,1.0,Missi,1642274.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-10-23T00:12:58.4Z,1,REGULAR,steal,,[],1642274,,,1610612740,0,0,2025-10-23T00:13:00Z,80000,False,,,0,,Y. Missi STEAL (1 STL),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-10-23T00:13:02.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,15.588042049934298,55.63725490196079,1610612740,0,2,2025-10-23T00:13:09Z,90000,False,-28.0,94.0,1,left,J. Poole 9' driving floating Jump Shot (2 PTS),[1629673],1610612740.0,NOP,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,9.81,Made,2.0,,,,,,,,,,,,,,
10,PT11M21.00S,2025-10-23T00:13:24.7Z,1,REGULAR,2pt,Jump Shot,[],1629630,81.68528252299606,18.627450980392158,1610612763,2,2,2025-10-23T00:13:30Z,100000,False,-157.0,120.0,1,right,J. Morant 19' step back Jump Shot (2 PTS),[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,Mid-Range,16-24 Left Center,,,,19.73,Made,2.0,,,,,,,,,,,,,,
11,PT11M09.00S,2025-10-23T00:13:40.1Z,1,REGULAR,foul,personal,[],1629630,,,1610612740,2,2,2025-10-23T00:13:50Z,110000,False,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 1630529]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,1626300.0,1.0,0.0,Jones,1630529.0,,,,,,,,,
13,PT11M00.00S,2025-10-23T00:14:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,19.267411300919843,51.225490196078425,1610612740,2,2,2025-10-23T00:14:15Z,130000,False,-6.0,129.0,1,left,MISS Z. Williamson 12' step back Shot,[1629627],1610612740.0,NOP,step back,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,,,,12.87,Missed,,,,,,,,,,,,,,,
14,PT10M57.00S,2025-10-23T00:14:13.3Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,2,2025-10-23T00:14:15Z,140000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M56.00S,2025-10-23T00:14:18.2Z,1,REGULAR,foul,personal,[],1629673,,,1610612763,2,2,2025-10-23T00:14:23Z,150000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1642377]",1610612740.0,NOP,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,,1628487.0,1.0,0.0,Wells,1642377.0,,,,,,,,,
18,PT10M42.00S,2025-10-23T00:15:08.1Z,1,REGULAR,3pt,Jump Shot,[],1642377,75.24638633377135,9.558823529411764,1610612763,2,2,2025-10-23T00:15:12Z,180000,False,-202.0,180.0,1,right,MISS J. Wells 27' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,,,,27.08,Missed,,,,,,,,,,,,,,,
19,PT10M40.00S,2025-10-23T00:15:10.1Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,2,2025-10-23T00:15:12Z,190000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M33.00S,2025-10-23T00:15:17.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,34.90473061760841,37.5,1610612740,2,5,2025-10-23T00:15:21Z,200000,False,62.0,276.0,1,left,J. Poole 28' 3PT  (5 PTS) (Y. Missi 1 AST),"[1629673, 1642274]",1610612740.0,NOP,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,28.26,Made,5.0,,,,,,,,,,Y. Missi,1642274.0,1.0,,
22,PT10M19.00S,2025-10-23T00:15:31.8Z,1,REGULAR,2pt,Jump Shot,[],203484,78.0059132720105,25.735294117647058,1610612763,2,5,2025-10-23T00:15:40Z,220000,False,-121.0,154.0,1,right,MISS K. Caldwell-Pope 19' pullup Shot,[203484],1610612763.0,MEM,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left Center,,,,19.62,Missed,,,,,,,,,,,,,,,
23,PT10M17.00S,2025-10-23T00:15:33.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,5,2025-10-23T00:15:40Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,22.0,,,,,,,,
25,PT10M11.00S,2025-10-23T00:15:57.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,64.60249671484888,61.76470588235294,1610612763,2,5,2025-10-23T00:16:03Z,250000,False,59.0,280.0,1,right,MISS J. Morant 28' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,28.63,Missed,,,,,,,,,,,,,,,
26,PT10M07.00S,2025-10-23T00:16:01.2Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,5,2025-10-23T00:16:03Z,260000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT10M04.00S,2025-10-23T00:16:05.6Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612740,2,5,2025-10-23T00:16:16Z,270000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Williamson 2 FT),"[203484, 1629627]",1610612763.0,MEM,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,1628487.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,
29,PT10M04.00S,2025-10-23T00:16:27.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629627,,,1610612740,2,5,2025-10-23T00:16:48Z,290000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
30,PT10M04.00S,2025-10-23T00:16:27.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,2,5,2025-10-23T00:16:48Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,
31,PT10M04.00S,2025-10-23T00:16:27.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629627,,,1610612740,2,5,2025-10-23T00:16:48Z,310000,False,,,0,,MISS Z. Williamson Free Throw 2 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
32,PT10M02.00S,2025-10-23T00:16:29.0Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,5,2025-10-23T00:16:48Z,320000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
