actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-31T01:11:19.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-31T01:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-31T01:11:22.3Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2025-12-31T01:11:22Z,40000,False,,,0,,Jump Ball C. Koloko vs. J. Embiid: Tip to J. Morant,"[1629630, 1631132, 203954]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Koloko,1631132.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-31T01:11:33.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,14.4053876478318,48.77450980392157,1610612763,2,0,2025-12-31T01:11:37Z,70000,False,6.0,83.0,1,left,J. Morant 8' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,8.31,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2025-12-31T01:11:49.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,89.70105124835742,40.19607843137255,1610612755,2,0,2025-12-31T01:11:54Z,80000,False,-49.0,44.0,1,right,MISS J. Embiid 6' turnaround Hook,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,6.61,Missed,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2025-12-31T01:11:51.8Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,2,0,2025-12-31T01:11:54Z,90000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M22.00S,2025-12-31T01:11:57.5Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,2,0,2025-12-31T01:12:00Z,100000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1642845]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Edgecombe,1642845.0,,,,,,,,,,
11,PT11M22.00S,2025-12-31T01:11:57.5Z,1,REGULAR,steal,,[],1642845,,,1610612755,2,0,2025-12-31T01:11:59Z,110000,False,,,0,,V. Edgecombe STEAL (1 STL),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-12-31T01:12:01.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202331,85.89027595269383,62.5,1610612755,2,0,2025-12-31T01:12:07Z,120000,False,62.0,80.0,1,right,MISS P. George 10' running pullup Shot,[202331],1610612755.0,PHI,running pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,10.16,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2025-12-31T01:12:04.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,0,2025-12-31T01:12:07Z,130000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M07.00S,2025-12-31T01:12:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,16.770696452036795,41.911764705882355,1610612763,4,0,2025-12-31T01:12:16Z,140000,False,40.0,105.0,1,left,C. Coward 11' pullup Jump Shot (2 PTS) (J. Jackson Jr. 1 AST),"[1642907, 1628991]",1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,11.26,Made,2.0,,,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,,,
16,PT10M45.00S,2025-12-31T01:12:33.6Z,1,REGULAR,3pt,Jump Shot,[],1642845,68.28186596583443,32.1078431372549,1610612755,4,3,2025-12-31T01:12:37Z,160000,False,-89.0,246.0,1,right,V. Edgecombe 26' 3PT pullup (3 PTS),[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,26.15,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2025-12-31T01:12:50.7Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,4,3,2025-12-31T01:12:53Z,170000,False,,,0,,J. Morant bad pass TURNOVER (2 TO),"[1629630, 1631230]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,Barlow,1631230.0,,,,,,,,,,
18,PT10M29.00S,2025-12-31T01:12:50.7Z,1,REGULAR,steal,,[],1631230,,,1610612755,4,3,2025-12-31T01:12:52Z,180000,False,,,0,,D. Barlow STEAL (1 STL),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2025-12-31T01:12:55.5Z,1,REGULAR,turnover,lost ball,[],1642845,,,1610612755,4,3,2025-12-31T01:12:59Z,190000,False,,,0,,V. Edgecombe lost ball TURNOVER (1 TO),"[1642845, 1629630]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Morant,1629630.0,,,,,,,,,,
20,PT10M24.00S,2025-12-31T01:12:55.5Z,1,REGULAR,steal,,[],1629630,,,1610612763,4,3,2025-12-31T01:12:56Z,200000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2025-12-31T01:12:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629630,6.652431011826544,47.05882352941176,1610612763,6,3,2025-12-31T01:13:12Z,210000,False,15.0,10.0,1,left,J. Morant running Layup (4 PTS) (J. Jackson Jr. 2 AST),"[1629630, 1628991]",1610612763.0,MEM,running,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.78,Made,4.0,,,,,,,,J. Jackson Jr.,1628991.0,2.0,,,,,,,
23,PT10M08.00S,2025-12-31T01:13:11.2Z,1,REGULAR,3pt,Jump Shot,[],1642845,69.20170827858082,73.0392156862745,1610612755,6,3,2025-12-31T01:13:16Z,230000,False,115.0,237.0,1,right,MISS V. Edgecombe 26' step back 3PT,[1642845],1610612755.0,PHI,step back,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2025-12-31T01:13:14.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,6,3,2025-12-31T01:13:16Z,240000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
25,PT10M02.00S,2025-12-31T01:13:17.7Z,1,REGULAR,turnover,bad pass,[],1642907,,,1610612763,6,3,2025-12-31T01:13:21Z,250000,False,,,0,,C. Coward bad pass TURNOVER (1 TO),"[1642907, 1642845]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Edgecombe,1642845.0,,,,,,,,,,
26,PT10M02.00S,2025-12-31T01:13:17.7Z,1,REGULAR,steal,,[],1642845,,,1610612755,6,3,2025-12-31T01:13:19Z,260000,False,,,0,,V. Edgecombe STEAL (2 STL),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2025-12-31T01:13:35.3Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612755,6,3,2025-12-31T01:13:40Z,270000,False,,,0,,P. George lost ball out-of-bounds TURNOVER (1 TO),[202331],1610612755.0,PHI,lost ball,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,,1627534.0,,,,,,
28,PT09M46.00S,2025-12-31T01:13:40.5Z,1,REGULAR,substitution,out,[],1631132,,,1610612763,6,3,2025-12-31T01:13:42Z,280000,False,,,0,,SUB out: C. Koloko,[1631132],1610612763.0,MEM,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M46.00S,2025-12-31T01:13:40.5Z,1,REGULAR,substitution,in,[],1629111,,,1610612763,6,3,2025-12-31T01:13:42Z,290000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2025-12-31T01:14:01.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642907,6.652431011826544,94.85294117647058,1610612763,6,3,2025-12-31T01:14:05Z,300000,False,-224.0,10.0,1,left,MISS C. Coward 3PT,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Left Corner 3,24+ Left,22.45,Missed,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2025-12-31T01:14:04.8Z,1,REGULAR,rebound,offensive,[],1642907,,,1610612763,6,3,2025-12-31T01:14:04Z,310000,False,,,0,,C. Coward REBOUND (Off:1 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Left Corner 3,24+ Left,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,,
33,PT09M24.00S,2025-12-31T01:14:32.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642377,24.392247043363994,85.5392156862745,1610612763,9,3,2025-12-31T01:14:36Z,330000,False,-178.0,177.0,1,left,J. Wells 25' 3PT  (3 PTS) (J. Landale 1 AST),"[1642377, 1629111]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,25.07,Made,3.0,,,,,,,,J. Landale,1629111.0,1.0,,,,,,,
