actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-03T00:43:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-03T00:43:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-03T00:43:11.1Z,1,REGULAR,jumpball,recovered,[],1629660,,,1610612763,0,0,2026-02-03T00:43:11Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. R. Gobert: Tip to T. Jerome,"[1629660, 1628991, 203497]",1610612763.0,MEM,startperiod,T. Jerome,1629660.0,Jerome,T. Jerome,Jackson Jr.,1628991.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-02-03T00:43:19.9Z,1,REGULAR,3pt,Jump Shot,[],1629111,71.56701708278581,75.24509803921569,1610612763,0,0,2026-02-03T00:43:24Z,70000,False,126.0,215.0,1,right,MISS J. Landale 24' 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,24.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-02-03T00:43:22.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2026-02-03T00:43:24Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2026-02-03T00:43:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,14.931011826544022,56.86274509803921,1610612750,0,2,2026-02-03T00:43:47Z,90000,False,-34.0,88.0,1,left,A. Edwards 9' driving floating Jump Shot (2 PTS),[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,9.44,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M10.00S,2026-02-03T00:43:56.9Z,1,REGULAR,turnover,bad pass,[],1642907,,,1610612763,0,2,2026-02-03T00:43:59Z,100000,False,,,0,,C. Coward bad pass TURNOVER (1 TO),"[1642907, 1630162]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Edwards,1630162.0,,,,,,,,,,
11,PT11M10.00S,2026-02-03T00:43:56.9Z,1,REGULAR,steal,,[],1630162,,,1610612750,0,2,2026-02-03T00:43:58Z,110000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2026-02-03T00:44:11.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630162,14.931011826544022,43.872549019607845,1610612750,0,2,2026-02-03T00:44:15Z,120000,False,31.0,88.0,1,left,MISS A. Edwards 9' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,9.31,Missed,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2026-02-03T00:44:15.0Z,1,REGULAR,rebound,defensive,[],1629660,,,1610612763,0,2,2026-02-03T00:44:15Z,130000,False,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M51.00S,2026-02-03T00:44:19.4Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612763,0,2,2026-02-03T00:44:26Z,140000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Jerome 2 FT),"[203944, 1629660]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1201.0,1.0,0.0,Jerome,1629660.0,,,,,
