actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-07T23:10:18.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T23:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-07T23:10:21.5Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2025-12-07T23:10:21Z,40000,False,,,0,,Jump Ball Z. Edey vs. Yang: Tip to V. Williams Jr.,"[1631246, 1641744, 1642905]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Edey,1641744.0,Hansen,1642905.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-07T23:10:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,9.937582128777924,57.35294117647059,1610612763,0,0,2025-12-08T00:19:05Z,70000,False,-37.0,41.0,1,left,MISS J. Wells driving Layup - blocked,"[1642377, 1630166]",1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,Avdija,1630166.0,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-12-07T23:10:33.0Z,1,REGULAR,block,,[],1630166,,,1610612763,0,0,2025-12-07T23:10:36Z,80000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-12-07T23:10:33.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2025-12-07T23:10:49Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2025-12-07T23:11:02.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642907,5.075558475689881,51.9607843137255,1610612763,2,0,2025-12-08T00:16:29Z,110000,False,-10.0,-5.0,1,left,C. Coward driving finger roll Layup (2 PTS),[1642907],1610612763.0,MEM,driving finger roll,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,1.09,Made,,,,2.0,,,,,,,,,,,,,,
13,PT11M13.00S,2025-12-07T23:11:22.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,73.9323258869908,82.35294117647058,1610612757,2,3,2025-12-07T23:11:25Z,130000,False,162.0,193.0,1,right,T. Camara 25' 3PT  (3 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,25.15,Made,,,,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,
15,PT10M56.00S,2025-12-07T23:11:40.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641744,5.338370565045992,49.754901960784316,1610612763,4,3,2025-12-07T23:11:43Z,150000,False,1.0,-2.0,1,left,Z. Edey DUNK (2 PTS) (J. Jackson Jr. 1 AST),"[1641744, 1628991]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,0.26,Made,,,,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,
17,PT10M45.00S,2025-12-07T23:11:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,89.83245729303549,52.94117647058824,1610612757,4,3,2025-12-07T23:11:55Z,170000,False,15.0,43.0,1,right,MISS J. Grant driving floating Shot,[203924],1610612757.0,POR,driving floating,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,4.55,Missed,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2025-12-07T23:11:52.6Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,4,3,2025-12-07T23:11:55Z,180000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,17.0,,,,,1.0,1.0,0.0,,,,,,,,
