actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-08T01:11:15.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-08T01:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2025-11-08T01:11:22.7Z,1,REGULAR,jumpball,recovered,[],1642843,,,1610612742,0,0,2025-11-08T01:11:22Z,40000,False,,,0,,Jump Ball D. Gafford vs. J. Jackson Jr.: Tip to C. Flagg,"[1642843, 1629655, 1628991]",1610612742.0,DAL,startperiod,C. Flagg,1642843.0,Flagg,C. Flagg,Gafford,1629655.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-11-08T01:11:38.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.30420499342969,21.568627450980394,1610612742,0,0,2025-11-08T01:11:42Z,70000,False,-142.0,217.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.96,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-11-08T01:11:40.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2025-11-08T01:11:42Z,80000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2025-11-08T01:11:59.7Z,1,REGULAR,3pt,Jump Shot,[],1642377,4.681340341655716,94.6078431372549,1610612763,0,0,2025-11-08T01:12:03Z,90000,False,-223.0,-8.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,22.32,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2025-11-08T01:12:02.7Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612742,0,0,2025-11-08T01:12:03Z,100000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M05.00S,2025-11-08T01:12:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,93.24901445466492,52.20588235294118,1610612742,0,2,2025-11-08T01:12:13Z,110000,False,11.0,11.0,1,right,P. Washington alley-oop Layup (2 PTS) (D. Russell 1 AST),"[1629023, 1626156]",1610612742.0,DAL,alley-oop,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,
13,PT10M42.00S,2025-11-08T01:12:32.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,10.463206307490145,49.50980392156863,1610612763,2,2,2025-11-08T01:12:36Z,130000,False,2.0,46.0,1,left,J. Landale turnaround Hook (2 PTS) (J. Morant 1 AST),"[1629111, 1629630]",1610612763.0,MEM,turnaround,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,
15,PT10M25.00S,2025-11-08T01:12:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,92.9862023653088,4.411764705882353,1610612742,2,2,2025-11-08T01:12:54Z,150000,False,-228.0,13.0,1,right,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,22.83,Missed,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2025-11-08T01:12:52.6Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,2,2025-11-08T01:14:29Z,160000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
