actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-28T00:10:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-28T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-28T00:10:57.7Z,1,REGULAR,jumpball,recovered,[],1642914,,,1610612763,0,0,2026-03-28T00:10:57Z,40000,False,,,0,,Jump Ball T. Hendricks vs. A. Sengun: Tip to J. Small,"[1642914, 1641707, 1630578]",1610612763.0,MEM,startperiod,J. Small,1642914.0,Small,J. Small,Hendricks,1641707.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2026-03-28T00:11:07.2Z,1,REGULAR,turnover,out-of-bounds,[],1642914,,,1610612763,0,0,2026-03-28T00:11:13Z,70000,False,,,0,,J. Small bad pass out-of-bounds TURNOVER (1 TO),[1642914],1610612763.0,MEM,bad pass,,,Small,J. Small,,,,,In The Paint (Non-RA),8-16 Center,202053.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2026-03-28T00:11:35.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642263,32.14520367936925,26.47058823529412,1610612745,0,0,2026-03-28T00:11:39Z,80000,False,118.0,250.0,1,left,MISS R. Sheppard 27' 3PT,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Right Center,,,27.6,Missed,,,,,,,,,,,,,,,,
9,PT11M21.00S,2026-03-28T00:11:39.3Z,1,REGULAR,rebound,defensive,[],1641765,,,1610612763,0,0,2026-03-28T00:11:39Z,90000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Right Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2026-03-28T00:11:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642914,92.9862023653088,47.794117647058826,1610612763,2,0,2026-03-28T00:11:46Z,100000,False,-11.0,13.0,1,right,J. Small running Layup (2 PTS) (O. Prosper 1 AST),"[1642914, 1641765]",1610612763.0,MEM,running,,,Small,J. Small,,,,,Restricted Area,0-8 Center,,,1.73,Made,,,,,2.0,O. Prosper,1641765.0,1.0,,,,,,,,
12,PT10M58.00S,2026-03-28T00:12:01.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,31.488173455978973,54.65686274509803,1610612745,2,3,2026-03-28T00:12:05Z,120000,False,-23.0,243.0,1,left,J. Smith Jr. 24' 3PT  (3 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,24.46,Made,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,
14,PT10M46.00S,2026-03-28T00:12:15.1Z,1,REGULAR,3pt,Jump Shot,[],1641713,69.46452036793693,72.79411764705883,1610612763,5,3,2026-03-28T00:12:18Z,140000,False,114.0,235.0,1,right,G. Jackson 26' 3PT  (3 PTS) (J. Small 1 AST),"[1641713, 1642914]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,,,26.07,Made,,,,,3.0,J. Small,1642914.0,1.0,,,,,,,,
16,PT10M33.00S,2026-03-28T00:12:27.4Z,1,REGULAR,turnover,bad pass,[],1641708,,,1610612745,5,3,2026-03-28T00:12:30Z,160000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 1641707]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Right,,1.0,,,,,,,,,,,Hendricks,1641707.0,,,,,,
17,PT10M33.00S,2026-03-28T00:12:27.4Z,1,REGULAR,steal,,[],1641707,,,1610612763,5,3,2026-03-28T00:12:29Z,170000,False,,,0,,T. Hendricks STEAL (1 STL),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
