actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-22T01:11:00.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-22T01:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-22T01:11:05.8Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2026-01-22T01:11:05Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. O. Okongwu: Tip to J. Morant,"[1629630, 1628991, 1630168]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Jackson Jr.,1628991.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-22T01:11:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628991,31.09395532194481,33.82352941176471,1610612763,0,0,2026-01-22T01:11:20Z,70000,False,81.0,240.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-01-22T01:11:17.0Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,0,0,2026-01-22T01:11:20Z,80000,False,,,0,,J. Wells REBOUND (Off:1 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2026-01-22T01:11:19.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642377,11.777266754270697,45.588235294117645,1610612763,2,0,2026-01-22T01:11:23Z,90000,False,22.0,58.0,1,left,J. Wells 6' turnaround fadeaway Jump Shot (2 PTS),[1642377],1610612763.0,MEM,turnaround fadeaway,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,6.23,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M18.00S,2026-01-22T01:11:42.3Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612737,2,0,2026-01-22T01:11:46Z,100000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 1629723]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Konchar,1629723.0,,,,,,,,,,
11,PT11M18.00S,2026-01-22T01:11:42.3Z,1,REGULAR,steal,,[],1629723,,,1610612763,2,0,2026-01-22T01:13:16Z,110000,False,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2026-01-22T01:11:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629723,6.521024967148489,53.18627450980392,1610612763,4,0,2026-01-22T01:11:50Z,120000,False,-16.0,9.0,1,left,J. Konchar running finger roll Layup (2 PTS),[1629723],1610612763.0,MEM,running finger roll,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M57.00S,2026-01-22T01:12:03.6Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612737,4,0,2026-01-22T01:12:09Z,130000,False,,,0,,N. Alexander-Walker bad pass out-of-bounds TURNOVER (2 TO),[1629638],1610612737.0,ATL,bad pass,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,,,1627524.0,,,,,,,,,
15,PT10M34.00S,2026-01-22T01:12:52.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642907,25.443495400788436,82.35294117647058,1610612763,4,0,2026-01-22T01:12:57Z,150000,False,-162.0,187.0,1,left,MISS C. Coward 24' 3PT,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,24.71,Missed,,,,,,,,,,,,,,,,,,
