actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-01T23:43:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-01T23:43:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-01T23:43:05.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2023-11-01T23:43:05Z,40000,False,,,0,,Jump Ball B. Adebayo vs. B. Simmons: Tip to K. Lowry,"[200768, 1628389, 1627732]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-11-01T23:43:40.4Z,1,REGULAR,2pt,Jump Shot,[],202710,93.11760840998686,69.6078431372549,1610612748,0,0,2023-11-01T23:43:48Z,80000,False,98.0,12.0,1,right,MISS J. Butler 9' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,9.88,Missed,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-11-01T23:43:44.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,0,0,2023-11-01T23:43:48Z,90000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Right,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M32.00S,2023-11-01T23:43:49.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,6.389618922470433,52.94117647058824,1610612751,0,2,2023-11-01T23:43:53Z,100000,False,-15.0,8.0,1,left,B. Simmons Hook (2 PTS) (D. Finney-Smith 1 AST),"[1627732, 1627827]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.65,Made,,,,,2.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,
12,PT11M19.00S,2023-11-01T23:44:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,93.51182654402102,46.07843137254902,1610612748,2,2,2023-11-01T23:44:08Z,120000,False,-20.0,8.0,1,right,B. Adebayo driving Layup (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,
14,PT11M12.00S,2023-11-01T23:44:09.3Z,1,REGULAR,3pt,Jump Shot,[],1628969,6.1268068331143235,97.30392156862744,1610612751,2,2,2023-11-01T23:44:36Z,140000,False,-237.0,5.0,1,left,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2023-11-01T23:44:09.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,2,2023-11-01T23:44:36Z,150000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M02.00S,2023-11-01T23:44:19.3Z,1,REGULAR,3pt,Jump Shot,[],1631170,91.67214191852825,2.941176470588235,1610612748,2,2,2023-11-01T23:44:39Z,160000,False,-235.0,26.0,1,right,MISS J. Jaquez Jr. 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Left Corner 3,24+ Left,23.67,Missed,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2023-11-01T23:44:21.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,2,2,2023-11-01T23:44:39Z,170000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Left Corner 3,24+ Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
