actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-30T00:42:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-30T00:42:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-30T00:42:24.0Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-01-30T00:42:24Z,40000,False,,,0,,Jump Ball J. Nurkic vs. B. Adebayo: Tip to B. Beal,"[203078, 203994, 1628389]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-01-30T00:42:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,88.12417871222075,38.72549019607843,1610612756,0,2,2024-01-30T00:43:35Z,70000,False,-56.0,59.0,1,right,B. Beal 8' driving floating bank Jump Shot (2 PTS),[203078],1610612756.0,PHX,driving floating bank,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Left,8.17,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2024-01-30T00:43:08.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,22.28975032851511,45.09803921568628,1610612748,2,2,2024-01-30T00:43:51Z,90000,False,25.0,157.0,1,left,T. Rozier 15' turnaround Jump Shot (2 PTS),[1626179],1610612748.0,MIA,turnaround,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Center,15.89,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M53.00S,2024-01-30T00:43:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,90.88370565045992,58.57843137254902,1610612756,2,2,2024-01-30T00:43:32Z,100000,False,43.0,33.0,1,right,MISS D. Booker driving Layup - blocked,"[1626164, 1628389]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,5.42,Missed,,Adebayo,1628389.0,,,,,,,,,,,,,,,
13,PT10M53.00S,2024-01-30T00:43:27.9Z,1,REGULAR,block,,[],1628389,,,1610612756,2,2,2024-01-30T00:43:40Z,105000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT10M51.00S,2024-01-30T00:43:29.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,2,2,2024-01-30T00:43:40Z,110000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M42.00S,2024-01-30T00:43:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629312,11.645860709592641,95.09803921568627,1610612748,2,2,2024-01-30T00:43:44Z,120000,False,-225.0,57.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,23.26,Missed,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2024-01-30T00:43:39.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,2,2,2024-01-30T00:43:44Z,130000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M35.00S,2024-01-30T00:43:46.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,7.30946123521682,1.715686274509804,1610612748,5,2,2024-01-30T00:43:52Z,140000,False,241.0,16.0,1,left,T. Rozier 24' 3PT  (5 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,24.19,Made,5.0,,,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,
17,PT10M35.00S,2024-01-30T00:43:54.0Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612748,5,2,2024-01-30T00:44:07Z,160000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Rozier 1 FT),"[203994, 1626179]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,2003.0,1.0,0.0,Rozier,1626179.0,,,
19,PT10M35.00S,2024-01-30T00:44:19.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626179,,,1610612748,6,2,2024-01-30T00:44:19Z,180000,False,,,0,,T. Rozier Free Throw 1 of 1 (6 PTS),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
