actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-10T23:44:06.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-10T23:44:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-10T23:44:10.0Z,1,REGULAR,jumpball,recovered,[],1627884,,,1610612742,0,0,2024-04-10T23:44:10Z,40000,False,,,0,,Jump Ball D. Gafford vs. B. Adebayo: Tip to D. Jones Jr.,"[1627884, 1629655, 1628389]",1610612742.0,DAL,startperiod,D. Jones Jr.,1627884.0,Jones Jr.,D. Jones Jr.,Gafford,1629655.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-04-10T23:44:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,85.75886990801577,44.6078431372549,1610612742,0,0,2024-04-10T23:45:07Z,70000,False,-27.0,81.0,1,right,MISS K. Irving 8' driving floating Shot,[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,8.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-04-10T23:44:31.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-04-10T23:44:40Z,80000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-04-10T23:44:34.1Z,1,REGULAR,foul,personal,[],202681,,,1610612748,0,0,2024-04-10T23:44:39Z,90000,False,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1628389]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
11,PT11M25.00S,2024-04-10T23:45:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612748,0,0,2024-04-10T23:45:11Z,110000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Herro 2 FT),"[1629029, 1629639]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627961.0,1.0,0.0,Herro,1629639.0,,,,,,,,,
13,PT11M25.00S,2024-04-10T23:45:22.3Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,1,0,2024-04-10T23:45:22Z,130000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M25.00S,2024-04-10T23:45:38.1Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,2,0,2024-04-10T23:45:38Z,140000,False,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M05.00S,2024-04-10T23:45:58.9Z,1,REGULAR,3pt,Jump Shot,[],1627884,82.21090670170827,5.147058823529411,1610612742,2,0,2024-04-10T23:46:05Z,150000,False,-224.0,115.0,1,right,MISS D. Jones Jr. 25' 3PT,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Left Center,25.19,Missed,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2024-04-10T23:46:00.9Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,2,0,2024-04-10T23:46:05Z,160000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M54.00S,2024-04-10T23:46:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631107,9.411957950065702,58.333333333333336,1610612748,2,0,2024-04-10T23:46:51Z,170000,False,-42.0,36.0,1,left,MISS N. Jovic turnaround Shot,[1631107],1610612748.0,MIA,turnaround,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2024-04-10T23:46:13.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,2,0,2024-04-10T23:46:16Z,180000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M47.00S,2024-04-10T23:46:24.1Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612742,2,0,2024-04-10T23:46:44Z,190000,False,,,0,,K. Irving bad pass out-of-bounds TURNOVER (1 TO),[202681],1610612742.0,DAL,bad pass,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,1627961.0,,,,,,1.0,,,,,,,
20,PT10M30.00S,2024-04-10T23:46:47.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,11.908672798948752,56.86274509803921,1610612748,4,0,2024-04-10T23:46:54Z,200000,False,-34.0,59.0,1,left,B. Adebayo 6' floating Jump Shot (2 PTS) (C. Martin 1 AST),"[1628389, 1628997]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.86,Made,,,,,,,,,,2.0,,C. Martin,1628997.0,1.0,,,,
22,PT10M17.00S,2024-04-10T23:47:00.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.77858081471747,21.813725490196077,1610612742,4,3,2024-04-10T23:47:12Z,220000,False,-141.0,222.0,1,right,L. Doncic 26' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.31,Made,,,,,,,,,,3.0,,,,,,,,
23,PT09M53.00S,2024-04-10T23:47:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,9.198423127463863,55.143229166666664,1610612748,6,3,2024-04-10T23:48:46Z,230000,False,-26.0,34.0,1,left,N. Jovic driving Layup (2 PTS) (J. Butler 1 AST),"[1631107, 202710]",1610612748.0,MIA,driving,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,4.26,Made,,,,,,,,,,2.0,,J. Butler,202710.0,1.0,,,,
25,PT09M40.00S,2024-04-10T23:47:36.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,63.9454664914586,48.03921568627451,1610612742,6,6,2024-04-10T23:47:42Z,250000,False,-10.0,286.0,1,right,L. Doncic 28' 3PT  (6 PTS) (D. Gafford 1 AST),"[1629029, 1629655]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,28.66,Made,,,,,,,,,,6.0,,D. Gafford,1629655.0,1.0,,,,
27,PT09M27.00S,2024-04-10T23:47:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.046649145860711,57.84313725490197,1610612748,8,6,2024-04-10T23:48:25Z,270000,False,-39.0,14.0,1,left,T. Herro driving Layup (4 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,4.15,Made,,,,,,,,,,4.0,,,,,,,,
28,PT09M13.00S,2024-04-10T23:48:05.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,68.54467805519053,74.75490196078431,1610612742,8,6,2024-04-10T23:48:47Z,280000,False,124.0,243.0,1,right,MISS L. Doncic 27' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,27.29,Missed,,,,,,,,,,,,,,,,,,
29,PT09M11.00S,2024-04-10T23:48:07.3Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,8,6,2024-04-10T23:48:47Z,290000,False,,,0,,L. Doncic REBOUND (Off:1 Def:0),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M10.00S,2024-04-10T23:48:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,92.32917214191852,53.431372549019606,1610612742,8,8,2024-04-10T23:48:52Z,300000,False,17.0,20.0,1,right,L. Doncic putback Layup (8 PTS),[1629029],1610612742.0,DAL,putback,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,2.61,Made,,,,,,,,,,8.0,,,,,,,,
31,PT08M59.00S,2024-04-10T23:48:18.4Z,1,REGULAR,3pt,Jump Shot,[],1628389,30.305519053876477,25.735294117647058,1610612748,8,8,2024-04-10T23:48:24Z,310000,False,121.0,232.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
32,PT08M56.00S,2024-04-10T23:48:21.4Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,8,8,2024-04-10T23:49:19Z,320000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
