actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-26T01:08:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-26T01:08:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-26T01:08:34.8Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2023-12-26T01:08:34Z,40000,False,,,0,,Jump Ball P. Reed vs. B. Adebayo: Tip to K. Oubre Jr.,"[1626162, 1630194, 1628389]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Reed,1630194.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2023-12-26T01:08:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,93.64323258869908,47.794117647058826,1610612755,0,0,2023-12-26T01:08:45Z,70000,False,-11.0,7.0,1,right,MISS K. Oubre Jr. driving Layup - blocked,"[1626162, 1629639]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.32,Missed,Herro,1629639.0,,,,,,,,,,,,,,,,
8,PT11M54.00S,2023-12-26T01:08:36.3Z,1,REGULAR,block,,[],1629639,,,1610612755,0,0,2023-12-26T01:08:38Z,80000,False,,,0,,T. Herro BLOCK (1 BLK),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M51.00S,2023-12-26T01:08:39.3Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,0,0,2023-12-26T01:08:45Z,90000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M38.00S,2023-12-26T01:08:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.95335085413929,48.03921568627451,1610612748,2,0,2023-12-26T01:08:58Z,100000,False,10.0,116.0,1,left,B. Adebayo 11' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,11.67,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M24.00S,2023-12-26T01:09:07.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,94.03745072273325,49.01960784313725,1610612755,2,2,2023-12-26T01:09:13Z,110000,False,-5.0,4.0,1,right,K. Oubre Jr. driving DUNK (2 PTS),[1626162],1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,,,2.0,,,,,,,,,,,
12,PT11M03.00S,2023-12-26T01:09:30.6Z,1,REGULAR,turnover,traveling,[],1628389,,,1610612748,2,2,2023-12-26T01:10:08Z,120000,False,,,0,,B. Adebayo traveling TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,203592.0,1.0,,,,,,,,,
13,PT10M53.00S,2023-12-26T01:09:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,64.07687253613666,56.86274509803921,1610612755,2,2,2023-12-26T01:09:56Z,130000,False,34.0,285.0,1,right,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,28.73,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2023-12-26T01:09:52.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2023-12-26T01:09:56Z,140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
