actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-01T00:41:52.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T00:41:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-01T00:41:55.6Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-02-01T00:41:55Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Sabonis: Tip to J. Butler,"[202710, 1628389, 1627734]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-01T00:42:15.3Z,1,REGULAR,3pt,Jump Shot,[],202710,24.917871222076215,10.294117647058822,1610612748,3,0,2024-02-01T00:47:06Z,90000,False,199.0,182.0,1,left,J. Butler 26' 3PT  (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,26.91,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2024-02-01T00:42:30.0Z,1,REGULAR,turnover,swinging elbows,[],1628368,,,1610612758,3,0,2024-02-01T00:42:39Z,110000,False,,,0,,D. Fox swinging elbows TURNOVER (1 TO),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,,1627961.0,1.0,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-02-01T00:42:59.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626179,15.982260183968464,57.59803921568627,1610612748,3,0,2024-02-01T00:47:56Z,120000,False,-38.0,98.0,1,left,MISS T. Rozier 10' floating Shot,[1626179],1610612748.0,MIA,floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,10.48,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2024-02-01T00:43:02.1Z,1,REGULAR,rebound,offensive,[],1629312,,,1610612748,3,0,2024-02-01T00:47:56Z,130000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:0),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,
14,PT10M54.00S,2024-02-01T00:43:04.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626179,28.07161629434954,14.950980392156863,1610612748,3,0,2024-02-01T00:43:16Z,140000,False,175.0,211.0,1,left,MISS T. Rozier 27' 3PT,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,27.46,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2024-02-01T00:43:07.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,3,0,2024-02-01T00:43:16Z,150000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M44.00S,2024-02-01T00:43:13.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,69.20170827858082,69.6078431372549,1610612758,3,3,2024-02-01T00:50:29Z,160000,False,98.0,237.0,1,right,K. Murray 25' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.65,Made,3.0,,,,,,,D. Sabonis,1627734.0,1.0,,,,,,,,
18,PT10M22.00S,2024-02-01T00:43:35.8Z,1,REGULAR,2pt,Jump Shot,[],202710,15.456636005256241,68.87254901960785,1610612748,3,3,2024-02-01T00:43:57Z,180000,False,-94.0,93.0,1,left,MISS J. Butler 13' driving floating bank Shot,[202710],1610612748.0,MIA,driving floating bank,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,13.24,Missed,,,,,,,,,,,,,,,,,,
