actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-20T01:12:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-20T01:12:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-20T01:12:52.6Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612737,0,0,2024-01-20T01:12:52Z,40000,False,,,0,,Jump Ball C. Capela vs. B. Adebayo: Tip to D. Murray,"[1627749, 203991, 1628389]",1610612737.0,ATL,startperiod,D. Murray,1627749.0,Murray,D. Murray,Capela,203991.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-01-20T01:13:06.9Z,1,REGULAR,turnover,out-of-bounds,[],203992,,,1610612737,0,0,2024-01-20T01:13:23Z,70000,False,,,0,,B. Bogdanovic bad pass out-of-bounds TURNOVER (1 TO),[203992],1610612737.0,ATL,bad pass,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,203591.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2024-01-20T01:13:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,31.750985545335087,59.80392156862745,1610612748,0,0,2024-01-20T01:13:42Z,80000,False,-49.0,246.0,1,left,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,,,25.08,Missed,,,,,,,,,,,,,,,,
9,PT11M23.00S,2024-01-20T01:13:37.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2024-01-20T01:13:42Z,90000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2024-01-20T01:13:42.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,67.49342969776609,59.55882352941176,1610612737,0,3,2024-01-20T01:14:21Z,100000,False,48.0,253.0,1,right,D. Murray 25' 3PT running pullup (3 PTS),[1627749],1610612737.0,ATL,running pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,25.76,Made,,,,,3.0,,,,,,,,,,,
11,PT11M08.00S,2024-01-20T01:13:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,8.623521681997373,49.754901960784316,1610612748,0,3,2024-01-20T01:19:30Z,110000,False,1.0,29.0,1,left,MISS C. Martin driving Layup,[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,2.86,Missed,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-01-20T01:13:52.0Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,0,3,2024-01-20T01:14:01Z,120000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
225,PT11M07.00S,2024-01-20T01:13:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,6.619579500657039,48.529411764705884,1610612748,0,3,2024-01-20T01:47:52Z,122500,False,7.0,10.0,1,left,MISS C. Martin tip Layup,[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,1.22,Missed,,,,,,,,,,,,,,,,
226,PT11M07.00S,2024-01-20T01:13:53.8Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,0,3,2024-01-20T01:47:52Z,123750,False,,,0,,C. Martin REBOUND (Off:2 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,225.0,2.0,0.0,2.0,,,,,,,,,,,,
58,PT11M02.00S,2024-01-20T01:13:55.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,23.73521681997372,16.42156862745098,1610612748,3,3,2024-01-20T01:49:48Z,125000,False,168.0,171.0,1,left,C. Martin 3PT  (3 PTS) (T. Herro 1 AST),"[1628997, 1629639]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,23.94,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,
15,PT10M43.00S,2024-01-20T01:14:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,89.96386333771353,39.705882352941174,1610612737,3,3,2024-01-20T01:14:41Z,150000,False,-51.0,42.0,1,right,MISS J. Johnson 6' floating Shot,[1630552],1610612737.0,ATL,floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,6.63,Missed,,,,,,,,,,,,,,,,
16,PT10M43.00S,2024-01-20T01:14:16.8Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,3,3,2024-01-20T01:14:41Z,160000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
17,PT10M39.00S,2024-01-20T01:14:20.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,94.30026281208936,50.98039215686274,1610612737,3,5,2024-01-20T01:15:54Z,170000,False,5.0,1.0,1,right,J. Johnson putback Layup (2 PTS),[1630552],1610612737.0,ATL,putback,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,0.5,Made,,,,,2.0,,,,,,,,,,,
18,PT10M24.00S,2024-01-20T01:14:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,10.988830486202366,42.40196078431372,1610612748,5,5,2024-01-20T01:16:23Z,180000,False,38.0,51.0,1,left,C. Martin 6' driving floating Jump Shot (5 PTS) (B. Adebayo 1 AST),"[1628997, 1628389]",1610612748.0,MIA,driving floating,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,6.34,Made,,,,,5.0,B. Adebayo,1628389.0,1.0,,,,,,,,
