actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-26T23:42:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-26T23:42:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-26T23:42:33.9Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612748,0,0,2024-03-26T23:42:33Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Green: Tip to T. Rozier,"[1626179, 1628389, 203110]",1610612748.0,MIA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Adebayo,1628389.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-26T23:42:45.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,91.80354796320631,0.9803921568627451,1610612748,3,0,2024-03-26T23:42:51Z,70000,False,-245.0,25.0,1,right,T. Rozier 24' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,24.63,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-03-26T23:43:01.8Z,1,REGULAR,3pt,Jump Shot,[],201939,30.17411300919842,72.79411764705883,1610612744,3,3,2024-03-26T23:43:07Z,90000,False,-114.0,231.0,1,left,S. Curry 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,25.77,Made,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-03-26T23:43:22.7Z,1,REGULAR,3pt,Jump Shot,[],1631107,80.23981603153744,4.166666666666666,1610612748,3,3,2024-03-26T23:43:28Z,110000,False,-229.0,133.0,1,right,MISS N. Jovic 26' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-03-26T23:43:25.7Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,3,3,2024-03-26T23:43:28Z,120000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M55.00S,2024-03-26T23:43:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,7.835085413929041,50.245098039215684,1610612744,3,5,2024-03-26T23:43:40Z,130000,False,-1.0,21.0,1,left,K. Thompson Layup (2 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
15,PT10M39.00S,2024-03-26T23:43:50.9Z,1,REGULAR,2pt,Jump Shot,[],1631107,83.18002628120894,89.97395833333334,1610612748,5,5,2024-03-26T23:44:02Z,150000,False,200.0,106.0,1,right,N. Jovic 22' Jump Shot (2 PTS) (T. Rozier 1 AST),"[1631107, 1626179]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Mid-Range,16-24 Right,22.61,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
17,PT10M27.00S,2024-03-26T23:44:03.0Z,1,REGULAR,3pt,Jump Shot,[],201939,35.167542706964525,39.950980392156865,1610612744,5,5,2024-03-26T23:44:09Z,170000,False,50.0,278.0,1,left,MISS S. Curry 28' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,28.26,Missed,,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2024-03-26T23:44:05.2Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,5,5,2024-03-26T23:44:05Z,180000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
