actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-19T00:42:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-19T00:42:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-19T00:42:56.3Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2023-12-19T00:42:56Z,40000,False,,,0,,Jump Ball B. Adebayo vs. R. Gobert: Tip to J. Butler,"[202710, 1628389, 203497]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-19T00:43:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,17.559132720105126,48.77450980392157,1610612748,0,0,2023-12-19T00:43:27Z,70000,False,6.0,113.0,1,left,MISS C. Martin 11' Jump Shot,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,11.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-12-19T00:43:12.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2023-12-19T00:43:17Z,80000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-12-19T00:43:21.9Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,0,2023-12-19T00:43:27Z,90000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1628389]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,
10,PT11M31.00S,2023-12-19T00:43:21.9Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,0,2023-12-19T00:43:23Z,100000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2023-12-19T00:43:25.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,6.521024967148489,48.77450980392157,1610612748,2,0,2023-12-19T00:44:25Z,110000,False,6.0,9.0,1,left,B. Adebayo running alley-oop DUNK (2 PTS) (C. Martin 1 AST),"[1628389, 1628997]",1610612748.0,MIA,running alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,2.0,C. Martin,1628997.0,1.0,,,,,,,
13,PT11M06.00S,2023-12-19T00:43:46.8Z,1,REGULAR,2pt,Jump Shot,[],1630183,93.11760840998686,33.57843137254902,1610612750,2,0,2023-12-19T00:43:52Z,130000,False,-82.0,12.0,1,right,MISS J. McDaniels 8' turnaround fadeaway Shot,[1630183],1610612750.0,MIN,turnaround fadeaway,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,8.3,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2023-12-19T00:43:48.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,2,0,2023-12-19T00:43:52Z,140000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M49.00S,2023-12-19T00:44:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,14.011169513797633,46.07843137254902,1610612748,2,0,2023-12-19T00:45:08Z,150000,False,20.0,79.0,1,left,MISS B. Adebayo 8' driving Layup - blocked,"[1628389, 1630183]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.16,Missed,,,,,,,,,,,,McDaniels,1630183.0,,,,,
16,PT10M49.00S,2023-12-19T00:44:04.9Z,1,REGULAR,block,,[],1630183,,,1610612748,2,0,2023-12-19T00:44:08Z,160000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2023-12-19T00:44:06.9Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,2,0,2023-12-19T00:44:12Z,170000,False,,,0,,T. Herro REBOUND (Off:1 Def:0),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,PT10M46.00S,2023-12-19T00:44:28.5Z,1,REGULAR,foul,personal,[],203497,,,1610612748,2,0,2023-12-19T00:44:45Z,190000,False,,,0,,R. Gobert personal FOUL (1 PF),"[203497, 1628389]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,200833.0,1.0,0.0,Adebayo,1628389.0
21,PT10M42.00S,2023-12-19T00:44:51.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,32.802233902759525,55.392156862745104,1610612748,2,0,2023-12-19T00:44:55Z,210000,False,-27.0,256.0,1,left,MISS K. Love 25' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2023-12-19T00:44:55.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-12-19T00:44:55Z,220000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M28.00S,2023-12-19T00:45:04.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,83.26215505913272,68.13725490196079,1610612750,2,0,2023-12-19T00:45:09Z,230000,False,91.0,105.0,1,right,MISS K. Towns 13' turnaround fadeaway Shot,[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,13.86,Missed,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2023-12-19T00:45:06.4Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,0,2023-12-19T00:45:09Z,240000,False,,,0,,T. Herro REBOUND (Off:1 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT10M18.00S,2023-12-19T00:45:14.9Z,1,REGULAR,3pt,Jump Shot,[],201567,32.53942181340342,67.8921568627451,1610612748,2,0,2023-12-19T00:45:18Z,250000,False,-89.0,253.0,1,left,MISS K. Love 26' 3PT,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,26.87,Missed,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2023-12-19T00:45:17.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2023-12-19T00:45:18Z,260000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT10M01.00S,2023-12-19T00:45:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,92.32917214191852,54.166666666666664,1610612750,2,0,2023-12-19T00:46:42Z,270000,False,21.0,20.0,1,right,MISS J. McDaniels driving floating bank Shot,[1630183],1610612750.0,MIN,driving floating bank,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2023-12-19T00:45:38.0Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,2,0,2023-12-19T00:45:38Z,280000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT09M54.00S,2023-12-19T00:45:38.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630183,94.40999984741211,50.0,1610612750,2,0,2023-12-19T00:47:33Z,290000,False,0.0,0.0,1,right,MISS J. McDaniels tip DUNK,[1630183],1610612750.0,MIN,tip,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
30,PT09M54.00S,2023-12-19T00:45:38.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,0,2023-12-19T00:47:33Z,300000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M46.00S,2023-12-19T00:45:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.434296977660972,47.30392156862745,1610612748,2,0,2023-12-19T00:45:53Z,310000,False,13.0,64.0,1,left,MISS B. Adebayo 6' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.58,Missed,,,,,,,,,,,,,,,,,,
